locus_id,species,assembly,query_symbol,matched_symbol,gene_id,seqid,start,end,resolution_method,alias_note
W046,Sparus aurata,GCF_900880675.2,gdf5,gdf5,gdf5,NC_044192.1,1974593.0,1983246.0,source:exact/synonym,
W046,Sparus aurata,GCF_900880675.2,hmgcra,hmgcra,hmgcra,NC_044191.1,4187855.0,4218352.0,source:exact/synonym,
W046,Sparus aurata,GCF_900880675.2,gnai2b,LOC115583474,LOC115583474,NC_044192.1,18133784.0,18177036.0,catfish-bridge:RBH,gnai2b
W049,Epinephelus tukula,GCF_041903045.1,CCDC102A,ccdc102a,ccdc102a,NC_135735.1,5288197.0,5389217.0,source:exact/synonym,
W049,Epinephelus tukula,GCF_041903045.1,NTRK2,ntrk2a,ntrk2a,NC_135742.1,21878686.0,22007210.0,source:duplicate-suffix,
W049,Epinephelus tukula,GCF_041903045.1,CTSL,ctsla,ctsla,NC_135742.1,8493467.0,8499982.0,source:duplicate-suffix,
W049,Epinephelus tukula,GCF_041903045.1,OTOF,otofa,otofa,NC_135746.1,19691446.0,19827515.0,source:duplicate-suffix,
W049,Epinephelus tukula,GCF_041903045.1,nestin,,,,,,,
W049,Epinephelus tukula,GCF_041903045.1,nes,nes,nes,NC_135743.1,5110380.0,5126356.0,source:exact/synonym,
W051,Mastacembelus armatus,GCF_900324485.3,ppt1,ppt1,ppt1,NC_046643.1,17000055.0,17004831.0,source:exact/synonym,
W051,Mastacembelus armatus,GCF_900324485.3,cap1,cap1,cap1,NC_046643.1,16988253.0,16999484.0,source:exact/synonym,
W051,Mastacembelus armatus,GCF_900324485.3,fgfr2,fgfr2,fgfr2,NC_046647.1,8025006.0,8061300.0,source:exact/synonym,
W052,Micropterus salmoides,GCF_014851395.1,llgl2,llgl2,llgl2,NW_024041262.1,2953951.0,2988738.0,source:exact/synonym,
W052,Micropterus salmoides,GCF_014851395.1,myo15b,myo15b,myo15b,NW_024041262.1,2993537.0,3061351.0,source:exact/synonym,
W052,Micropterus salmoides,GCF_014851395.1,shisa6,,,,,,,shisa6
W052,Micropterus salmoides,GCF_014851395.1,plcd3a,plcd3a,plcd3a,NW_024040041.1,26130159.0,26151154.0,source:exact/synonym,
W052,Micropterus salmoides,GCF_014851395.1,galk1,galk1,galk1,NW_024041262.1,2943726.0,2952181.0,source:exact/synonym,
W052,Micropterus salmoides,GCF_014851395.1,acbd4,acbd4,acbd4,NW_024041262.1,2892096.0,2904952.0,source:exact/synonym,
W052,Micropterus salmoides,GCF_014851395.1,pard3,pard3ab,pard3ab,NW_024040485.1,5318350.0,5553890.0,alias(zebrafish):exact/synonym,pard3ab
W053,Oncorhynchus mykiss,GCF_013265735.2,sema6ba,sema6bb,sema6bb,NC_048569.1,65181687.0,65333174.0,catfish-bridge:RBH,sema6ba
W054,Oreochromis niloticus,GCF_001858045.2,galnt9,galnt9,galnt9,NC_031977.2,8913231.0,9007028.0,source:exact/synonym,
W054,Oreochromis niloticus,GCF_001858045.2,esrrg,esrrga,esrrga,NC_031965.2,26470882.0,26644822.0,source:duplicate-suffix,
W054,Oreochromis niloticus,GCF_001858045.2,map7,map7a,map7a,NC_031983.2,20274821.0,20281153.0,source:duplicate-suffix,
W054,Oreochromis niloticus,GCF_001858045.2,mtfr2,mtfr2,mtfr2,NC_031980.2,7912531.0,7916440.0,source:exact/synonym,
W054,Oreochromis niloticus,GCF_001858045.2,kcnj8,kcnj8,kcnj8,NC_031981.2,19379340.0,19389139.0,source:exact/synonym,
W054,Oreochromis niloticus,GCF_001858045.2,fhit,fhit,fhit,NC_031970.2,35759073.0,35947608.0,source:exact/synonym,
W054,Oreochromis niloticus,GCF_001858045.2,dnm1,dnm1a,dnm1a,NC_031972.2,20410972.0,20462287.0,source:duplicate-suffix,
W054,Oreochromis niloticus,GCF_001858045.2,cald1,cald1a,cald1a,NC_031981.2,6812355.0,6877801.0,source:duplicate-suffix,
W054,Oreochromis niloticus,GCF_001858045.2,plxnb2,plxnb2a.1,plxnb2a.1,NC_031981.2,19031017.0,19255730.0,alias(zebrafish):exact/synonym,plxnb2a.1
W054,Oreochromis niloticus,GCF_001858045.2,nuak1,nuak1b,nuak1b,NC_031972.2,47310807.0,47329134.0,source:duplicate-suffix,
W054,Oreochromis niloticus,GCF_001858045.2,bpgm,bpgm,bpgm,NC_031972.2,48120135.0,48123245.0,source:exact/synonym,
W056,Ctenopharyngodon idella,GCF_019924925.1,UBL5,LOC127518363,LOC127518363,NC_067220.1,3578807.0,3582117.0,catfish-bridge:RBH,ubl5
W056,Ctenopharyngodon idella,GCF_019924925.1,GNG7,gng7,gng7,NC_067221.1,6404506.0,6441909.0,source:exact/synonym,
W056,Ctenopharyngodon idella,GCF_019924925.1,SLC16A2,slc16a2,slc16a2,NC_067233.1,22916273.0,22959693.0,source:exact/synonym,
W057,Culter alburnus,GCA_040182925.1,aig1,ABG768_014434,ABG768_014434,CM079601.1,29621420.0,29660332.0,catfish-bridge:RBH,aig1
W057,Culter alburnus,GCA_040182925.1,cacna1b,ABG768_023021,ABG768_023021,CM079586.1,36025365.0,36160082.0,catfish-bridge:RBH,cacna1ba
W057,Culter alburnus,GCA_040182925.1,pgm5,ABG768_026559,ABG768_026559,CM079589.1,22635243.0,22663906.0,catfish-bridge:RBH,pgm5
W057,Culter alburnus,GCA_040182925.1,bcr,ABG768_015116,ABG768_015116,CM079602.1,13039005.0,13109503.0,catfish-bridge:RBH,bcr
W058,Ictalurus punctatus,GCF_001660625.3,rrp44,,,,,,,
W059,Lateolabrax maculatus,GCA_031216445.1,pkce,,,,,,,
W059,Lateolabrax maculatus,GCA_031216445.1,slc28a3,,,,,,,
W059,Lateolabrax maculatus,GCA_031216445.1,cdk5,cdk5,Q5Y98_012393,CM062203.1,10630352.0,10637893.0,source:exact/synonym,
W060,Paralichthys olivaceus,GCF_024713975.1,fras1,fras1,fras1,NC_091096.1,2465902.0,2634007.0,source:exact/synonym,
W060,Paralichthys olivaceus,GCF_024713975.1,nkd1,nkd1,nkd1,NC_091093.1,8851942.0,8885766.0,source:exact/synonym,
W060,Paralichthys olivaceus,GCF_024713975.1,lamb4,lamb4,lamb4,NC_091099.1,15538.0,41394.0,source:exact/synonym,
W061,Plecoglossus altivelis,GCF_021917145.1,abat,abat,abat,NW_025813701.1,196127.0,292556.0,source:exact/synonym,
W061,Plecoglossus altivelis,GCF_021917145.1,maml3,maml3,maml3,NC_061081.1,65281.0,82415.0,source:exact/synonym,
W061,Plecoglossus altivelis,GCF_021917145.1,LOC124013321,,,,,,,
W061,Plecoglossus altivelis,GCF_021917145.1,slc25a12,slc25a12,slc25a12,NC_061069.1,7990346.0,7998767.0,source:exact/synonym,
W061,Plecoglossus altivelis,GCF_021917145.1,dnah10,dnah10,dnah10,NW_025813938.1,1756689.0,1772309.0,source:exact/synonym,
W061,Plecoglossus altivelis,GCF_021917145.1,syt9a,,,,,,,syt9a
L001,Scophthalmus maximus,GCF_022379125.1,fam81b,fam81b,fam81b,NC_061533.1,16010625.0,16021320.0,source:exact/synonym,
L001,Scophthalmus maximus,GCF_022379125.1,atrn,atrn,atrn,NC_061529.1,2866128.0,2978073.0,source:exact/synonym,
L001,Scophthalmus maximus,GCF_022379125.1,iqgap1,iqgap1,iqgap1,NC_061518.1,1480471.0,1527849.0,source:exact/synonym,
L001,Scophthalmus maximus,GCF_022379125.1,enah,enah,enah,NC_061532.1,3770690.0,3884575.0,source:exact/synonym,
L001,Scophthalmus maximus,GCF_022379125.1,baz2a,baz2a,baz2a,NC_061517.1,2396569.0,2415410.0,source:exact/synonym,
L001,Scophthalmus maximus,GCF_022379125.1,amd1,amd1,amd1,NC_061532.1,1494362.0,1508524.0,source:exact/synonym,
L002,Channa argus,GCF_033026475.1,COL2A1,col2a1b,col2a1b,NC_090201.1,18698183.0,18738637.0,source:duplicate-suffix,
L002,Channa argus,GCF_033026475.1,CTSS,,,,,,,
L002,Channa argus,GCF_033026475.1,S100A4,,,,,,,
L002,Channa argus,GCF_033026475.1,PYGM,pygma,pygma,NC_090220.1,856986.0,868622.0,source:duplicate-suffix,
L002,Channa argus,GCF_033026475.1,DLAT,dlat,dlat,NC_090220.1,1020974.0,1030425.0,source:exact/synonym,
L002,Channa argus,GCF_033026475.1,MSX2,msx2b,msx2b,NC_090218.1,7741355.0,7744299.0,source:duplicate-suffix,
L002,Channa argus,GCF_033026475.1,ZNRF3,znrf3,znrf3,NC_090207.1,5089623.0,5153505.0,source:exact/synonym,
L003,Larimichthys crocea,GCF_000972845.2,Unc5d,unc5db,unc5db,NC_040013.1,49448411.0,49611615.0,source:duplicate-suffix,
L003,Larimichthys crocea,GCF_000972845.2,SCN5A,,,,,,,
L003,Larimichthys crocea,GCF_000972845.2,HUS1,hus1,hus1,NC_040033.1,18989901.0,18994022.0,source:exact/synonym,
L004,Micropterus salmoides,GCF_014851395.1,Nkcc1,,,,,,,
L004,Micropterus salmoides,GCF_014851395.1,Mapkap1,mapkap1,mapkap1,NW_024041151.1,31093780.0,31134057.0,source:exact/synonym,
L004,Micropterus salmoides,GCF_014851395.1,Hmgcs1,hmgcs1,hmgcs1,NW_024041151.1,28801166.0,28813191.0,source:exact/synonym,
L004,Micropterus salmoides,GCF_014851395.1,Slc27a6,slc27a6,slc27a6,NW_024041151.1,31338539.0,31383912.0,source:exact/synonym,
L004,Micropterus salmoides,GCF_014851395.1,Shroom3,shroom3,shroom3,NW_024041151.1,28533198.0,28606201.0,source:exact/synonym,
L005,Clarias fuscus,GCF_024256425.1,mstnb,mstnb,mstnb,NC_071104.1,36325449.0,36330239.0,source:exact/synonym,
L005,Clarias fuscus,GCF_024256425.1,egfr,egfra,egfra,NC_071124.1,21999148.0,22062900.0,source:duplicate-suffix,
L005,Clarias fuscus,GCF_024256425.1,serca1,atp2a1,atp2a1,NC_071115.1,8473834.0,8488496.0,alias(zebrafish):exact/synonym,atp2a1
L006,Cynoglossus semilaevis,GCF_000523025.1,grid1,grid1a,grid1a,NC_024318.1,4485457.0,4650716.0,source:duplicate-suffix,
L006,Cynoglossus semilaevis,GCF_000523025.1,grid2,grid2,grid2,NC_024328.1,20792206.0,21046513.0,source:exact/synonym,
L006,Cynoglossus semilaevis,GCF_000523025.1,shcbp1,shcbp1,shcbp1,NC_024311.1,14466947.0,14472055.0,source:exact/synonym,
L006,Cynoglossus semilaevis,GCF_000523025.1,sass6,sass6,sass6,NC_024308.1,8204938.0,8211521.0,source:exact/synonym,
L006,Cynoglossus semilaevis,GCF_000523025.1,cdca7,cdca7a,cdca7a,NC_024322.1,6185728.0,6190136.0,source:duplicate-suffix,
L006,Cynoglossus semilaevis,GCF_000523025.1,gh,gh1,gh1,NC_024318.1,16479910.0,16482267.0,source:exact/synonym,
L006,Cynoglossus semilaevis,GCF_000523025.1,igf1,igf1,igf1,NC_024314.1,18095424.0,18110689.0,source:exact/synonym,
L007,Epinephelus lanceolatus,GCF_041903045.1,iqgap1,iqgap1,iqgap1,NC_135735.1,51249494.0,51383920.0,source:exact/synonym,
L007,Epinephelus lanceolatus,GCF_041903045.1,mex3b,mex3b,mex3b,NC_135735.1,49829505.0,49834630.0,source:exact/synonym,
L007,Epinephelus lanceolatus,GCF_041903045.1,ndufs3,ndufs3,ndufs3,NC_135735.1,50237471.0,50277341.0,source:exact/synonym,
L008,Takifugu fasciatus,GCA_059138665.1,IGF1,,,,,,,igf1
L008,Takifugu fasciatus,GCA_059138665.1,IGF2,,,,,,,igf2a
L008,Takifugu fasciatus,GCA_059138665.1,ADGRB,AC4PPQ_031298,AC4PPQ_031298,CM181140.1,4585304.0,4601770.0,catfish-bridge:RBH,adgrb2
L011,Cyprinus carpio,GCF_018340385.1,fnd3b,,,,,,,
L011,Cyprinus carpio,GCF_018340385.1,ghsr,,,,,,,
L011,Cyprinus carpio,GCF_018340385.1,pld1,pld1b,pld1b,NC_056595.1,17940952.0,17967694.0,source:duplicate-suffix,
L012,Oreochromis niloticus,GCF_001858045.2,hip1,hip1,hip1,NC_031979.2,12169977.0,12224577.0,source:exact/synonym,
L012,Oreochromis niloticus,GCF_001858045.2,hectd1,hectd1,hectd1,NC_031983.2,3640417.0,3682853.0,source:exact/synonym,
L012,Oreochromis niloticus,GCF_001858045.2,elna,elna,elna,NC_031979.2,19915686.0,19969828.0,source:exact/synonym,
L012,Oreochromis niloticus,GCF_001858045.2,smyd1b,smyd1b,smyd1b,NC_031977.2,24059207.0,24068557.0,source:exact/synonym,
L012,Oreochromis niloticus,GCF_001858045.2,rrp12,rrp12,rrp12,NC_031978.2,18941990.0,18952059.0,source:exact/synonym,
L012,Oreochromis niloticus,GCF_001858045.2,pprc1,pprc1,pprc1,NC_031978.2,18850646.0,18860227.0,source:exact/synonym,
L015,Dentex dentex,GCF_900880675.2,ANGPTL6,angptl6,angptl6,NC_044209.1,24474260.0,24478663.0,source:exact/synonym,
L018,Larimichthys polyactis,GCF_000972845.2,kif26b,kif26ba,kif26ba,NC_040018.1,17851886.0,17929770.0,source:duplicate-suffix,
L018,Larimichthys polyactis,GCF_000972845.2,bat1,ddx39b,ddx39b,NC_040023.1,7697019.0,7705523.0,alias(zebrafish):exact/synonym,ddx39b
L018,Larimichthys polyactis,GCF_000972845.2,gna1,,,,,,,
L018,Larimichthys polyactis,GCF_000972845.2,gbgt1,,,,,,,
L018,Larimichthys polyactis,GCF_000972845.2,amfr,amfra,amfra,NC_040031.1,2760897.0,2775050.0,source:duplicate-suffix,
L019,Pelteobagrus vachelli,GCF_022655615.1,Sipa1,,,,,,,sipa1
L019,Pelteobagrus vachelli,GCF_022655615.1,HSD11B2,hsd11b2,hsd11b2,NC_062518.1,5287996.0,5304042.0,source:exact/synonym,
L019,Pelteobagrus vachelli,GCF_022655615.1,Sema7a,sema7a,sema7a,NC_062527.1,9999589.0,10008657.0,source:exact/synonym,
L020,Scatophagus argus,GCF_020382885.2,Hbp1,hbp1,hbp1,NC_058499.1,8416568.0,8424380.0,source:exact/synonym,
L020,Scatophagus argus,GCF_020382885.2,Vgll4,vgll4a,vgll4a,NC_058500.1,8223409.0,8229914.0,source:duplicate-suffix,
L020,Scatophagus argus,GCF_020382885.2,Pim3,pim3,pim3,NC_058514.1,11151646.0,11156543.0,source:exact/synonym,
L021,Hypophthalmichthys molitrix,GCF_019924925.1,Hepcidin,,,,,,,
L022,Ictalurus punctatus,GCF_001660625.3,megf9,,,,,,,
L022,Ictalurus punctatus,GCF_001660625.3,npffr1,,,,,,,
L022,Ictalurus punctatus,GCF_001660625.3,gas1,gas1a,gas1a,NC_030437.2,12129524.0,12131864.0,source:duplicate-suffix,
L023,Sparus aurata,GCF_900880675.2,semaphorin-3A,,,,,,,
L023,Sparus aurata,GCF_900880675.2,neurotrophin-3,,,,,,,
L024,Cyprinus carpio,GCF_018340385.1,Apelin,,,,,,,
L025,Nibea albiflora,GCA_014281875.1,PLA2G4A,PLA2G4A,GBF38_007551,CM024792.1,7628815.0,7642660.0,source:exact/synonym,
L025,Nibea albiflora,GCA_014281875.1,BRINP3,BRINP3,GBF38_018459,CM024792.1,25386358.0,25428425.0,source:exact/synonym,
L025,Nibea albiflora,GCA_014281875.1,P2RY1,P2RY1,GBF38_020580,CM024800.1,18124255.0,18125325.0,source:exact/synonym,
L027,Dicentrarchus labrax,GCF_905237075.1,Jak,jak1,jak1,NW_026136718.1,8386218.0,8420258.0,source:duplicate-suffix,
L027,Dicentrarchus labrax,GCF_905237075.1,STAT,stat2,stat2,NW_026136711.1,18611562.0,18621727.0,source:duplicate-suffix,
L027,Dicentrarchus labrax,GCF_905237075.1,MAPK,mapk1,mapk1,NW_026136714.1,19739018.0,19766663.0,source:duplicate-suffix,
L027,Dicentrarchus labrax,GCF_905237075.1,IGFI,igf1,igf1,NW_026136724.1,17968534.0,18121588.0,alias(zebrafish):exact/synonym,igf1
L027,Dicentrarchus labrax,GCF_905237075.1,IGFII,,,,,,,igf2a
L027,Dicentrarchus labrax,GCF_905237075.1,gh1,gh1,gh1,NW_026136760.1,378328.0,380704.0,source:exact/synonym,
L028,Cyprinus carpio,GCF_018340385.1,KISS2,kiss2,kiss2,NC_056600.1,12910167.0,12910974.0,source:exact/synonym,
L028,Cyprinus carpio,GCF_018340385.1,IGF1,igf1,igf1,NC_056600.1,13274615.0,13287917.0,source:exact/synonym,
L028,Cyprinus carpio,GCF_018340385.1,SMTLB,smtlb,smtlb,NC_056606.1,18481929.0,18483332.0,source:exact/synonym,
L028,Cyprinus carpio,GCF_018340385.1,NPFFR1,,,,,,,
L028,Cyprinus carpio,GCF_018340385.1,CPE,cpe,cpe,NC_056572.1,973574.0,987592.0,source:exact/synonym,
L028,Cyprinus carpio,GCF_018340385.1,DMRT2b,dmrt2b,dmrt2b,NC_056602.1,18750374.0,18754929.0,source:exact/synonym,
L029,Epinephelus coioides,GCA_051314025.1,fez2,ABVT39_024225,ABVT39_024225,CM120187.1,20977969.0,20988171.0,catfish-bridge:RBH,fez2a
L029,Epinephelus coioides,GCA_051314025.1,alg3,ABVT39_020409,ABVT39_020409,CM120191.1,13435884.0,13441854.0,catfish-bridge:RBH,alg3
L029,Epinephelus coioides,GCA_051314025.1,ece2,ABVT39_004967,ABVT39_004967,CM120191.1,13262010.0,13404118.0,catfish-bridge:RBH,ece2a
L029,Epinephelus coioides,GCA_051314025.1,arvcf,ABVT39_000686,ABVT39_000686,CM120197.1,18707200.0,18731277.0,catfish-bridge:RBH,arvcfa
L029,Epinephelus coioides,GCA_051314025.1,sla27a4,,,,,,,
L029,Epinephelus coioides,GCA_051314025.1,sgk223,,,,,,,
L029,Epinephelus coioides,GCA_051314025.1,camk2,ABVT39_017076,ABVT39_017076,CM120189.1,44938786.0,44983916.0,catfish-bridge:RBH,camk2a
L029,Epinephelus coioides,GCA_051314025.1,prrc2b,ABVT39_004392,ABVT39_004392,CM120197.1,15554214.0,15578317.0,catfish-bridge:RBH,prrc2b
L029,Epinephelus coioides,GCA_051314025.1,mchr1,,,,,,,
L029,Epinephelus coioides,GCA_051314025.1,sardh,ABVT39_005269,ABVT39_005269,CM120197.1,21961842.0,22038475.0,catfish-bridge:RBH,sardh
L029,Epinephelus coioides,GCA_051314025.1,pappa,ABVT39_026765,ABVT39_026765,CM120197.1,17108081.0,17219985.0,catfish-bridge:RBH,pappaa
L029,Epinephelus coioides,GCA_051314025.1,syk,ABVT39_018797,ABVT39_018797,CM120197.1,4059438.0,4111979.0,catfish-bridge:RBH,syk
L029,Epinephelus coioides,GCA_051314025.1,tert,ABVT39_023100,ABVT39_023100,CM120194.1,2009464.0,2024249.0,catfish-bridge:RBH,tert
L029,Epinephelus coioides,GCA_051314025.1,wdrcp91,,,,,,,
L029,Epinephelus coioides,GCA_051314025.1,ftz-f1,ABVT39_021125,ABVT39_021125,CM120185.1,24589259.0,24661011.0,catfish-bridge:RBH,nr5a2
L029,Epinephelus coioides,GCA_051314025.1,mate1,,,,,,,
L029,Epinephelus coioides,GCA_051314025.1,notch1,,,,,,,
L030,Hypophthalmichthys nobilis,GCF_019924925.1,CRP1,,,,,,,crp1
L030,Hypophthalmichthys nobilis,GCF_019924925.1,CRP2,,,,,,,crp2
L033,Oncorhynchus kisutch,GCF_002021735.2,Clock,clocka,clocka,NC_034183.2,30165180.0,30225955.0,source:duplicate-suffix,
L033,Oncorhynchus kisutch,GCF_002021735.2,Cryptochrome,,,,,,,
L033,Oncorhynchus kisutch,GCF_002021735.2,Cryptochrome2b,,,,,,,
L033,Oncorhynchus kisutch,GCF_002021735.2,OtsClock1b,,,,,,,
C001,Ictalurus punctatus,GCF_001660625.3,,,,NC_030435.2,14657971.0,14657971.0,coordinate:stated-assembly,
C002,Ictalurus punctatus,GCF_001660625.3,,,,NC_030435.2,14658012.0,14658012.0,coordinate:stated-assembly,
C003,Tachysurus fulvidraco,GCF_022655615.1,stat5b,stat5b,stat5b,NC_062525.1,20298621.0,20314934.0,source:exact/synonym,coordinate-system mismatch vs stated chrom; anchored on gene symbol position instead
C004,Tachysurus fulvidraco,GCF_022655615.1,igf1,igf1,igf1,NC_062536.1,18248317.0,18271233.0,source:exact/synonym,
C004,Tachysurus fulvidraco,GCF_022655615.1,myf5,myf5,myf5,NC_062536.1,19986431.0,19991656.0,source:exact/synonym,
C004,Tachysurus fulvidraco,GCF_022655615.1,myf6,myf6,myf6,NC_062536.1,19994817.0,19998591.0,source:exact/synonym,
C005,Clarias macrocephalus,GCF_024256425.1,egln2,egln2,egln2,NC_071110.1,12259125.0,12286399.0,source:exact/synonym,
C005,Clarias macrocephalus,GCF_024256425.1,zfyve21,zfyve21,zfyve21,NC_071107.1,32950779.0,32961584.0,source:exact/synonym,
C005,Clarias macrocephalus,GCF_024256425.1,jph3a,jph3a,jph3a,NC_071114.1,26627115.0,26635019.0,source:exact/synonym,
C007,Ictalurus punctatus,GCF_001660625.3,megf9,,,,,,,unresolved
C007,Ictalurus punctatus,GCF_001660625.3,npffr1,,,,,,,unresolved
C007,Ictalurus punctatus,GCF_001660625.3,gas1,gas1a,gas1a,NC_030437.2,12129524.0,12131864.0,source:duplicate-suffix,
C014,Tachysurus fulvidraco,GCF_022655615.1,GH,gh1,gh1,NC_062524.1,4116713.0,4120060.0,manual-alias:gh1,
C015,Tachysurus fulvidraco,GCF_022655615.1,GH,gh1,gh1,NC_062524.1,4116713.0,4120060.0,manual-alias:gh1,
C016,Tachysurus fulvidraco,GCF_022655615.1,GH,gh1,gh1,NC_062524.1,4116713.0,4120060.0,manual-alias:gh1,
C017,Clarias fuscus,GCF_024256425.1,mstnb,mstnb,mstnb,NC_071104.1,36325449.0,36330239.0,source:exact/synonym,
C017,Clarias fuscus,GCF_024256425.1,egfr,egfra,egfra,NC_071124.1,21999148.0,22062900.0,source:duplicate-suffix,
C017,Clarias fuscus,GCF_024256425.1,serca1,atp2a1,atp2a1,NC_071115.1,8473834.0,8488496.0,alias(zebrafish):exact/synonym,
C018,Hemibagrus wyckioides,GCF_019097595.1,ttc39b,,,,,,,unresolved
C019,Hemibagrus wyckioides,GCF_019097595.1,lrp1,,,,,,,unresolved
C019,Hemibagrus wyckioides,GCF_019097595.1,gng3,gng3,gng3,NC_080727.1,20712438.0,20716994.0,source:exact/synonym,
C019,Hemibagrus wyckioides,GCF_019097595.1,aspp2,tp53bp2a,tp53bp2a,NC_080738.1,10693967.0,10732487.0,manual-alias:tp53bp2,
C019,Hemibagrus wyckioides,GCF_019097595.1,mgp,mgp,mgp,NC_080721.1,15538906.0,15547892.0,source:exact/synonym,
C019,Hemibagrus wyckioides,GCF_019097595.1,rusc2,rusc2,rusc2,NC_080731.1,21440971.0,21459617.0,source:exact/synonym,
C028,Ictalurus punctatus,GCF_001660625.3,bmpr1bb,bmpr1bb,bmpr1bb,NC_030431.2,1274851.0,1340002.0,source:exact/synonym,
C028,Ictalurus punctatus,GCF_001660625.3,fgfrl1b,fgfrl1b,fgfrl1b,NC_030423.2,27797186.0,27841163.0,source:exact/synonym,
C028,Ictalurus punctatus,GCF_001660625.3,nipbl,nipblb,nipblb,NC_030431.2,1536920.0,1570558.0,source:duplicate-suffix,
C028,Ictalurus punctatus,GCF_001660625.3,foxp2,foxp2,foxp2,NC_030434.2,16328218.0,16423605.0,source:exact/synonym,
C028,Ictalurus punctatus,GCF_001660625.3,pax5,pax5,pax5,NC_030444.2,2069573.0,2121663.0,source:exact/synonym,
