locus_id,species,assembly,anchor_kind,anchor_label,matched_symbol,resolution_method,src_seqid,src_pos,n_genes,n_orth,n_support,cat_chrom,cat_seqid,rho,proj_start,proj_end,proj_point,span,anchor_ortholog,p_coloc,collinear_frac,conservation_class
W025,Oreochromis niloticus,GCF_001858045.2,gene,efna3,efna3a,source:duplicate-suffix,NC_031985.2,17285140,21,17,14,chr29,NC_069738.1,0.6,13867755,14348139,13867755,480384,efna3a,2.8181364189576148e-24,0.5,moderate
W025,Oreochromis niloticus,GCF_001858045.2,gene,aurk,aurka,source:duplicate-suffix,NC_031970.2,6633491,21,15,4,chr2,NC_069711.1,1.0,11569192,11790509,12251756,221317,,3.5619414326253494e-05,1.0,moderate
W025,Oreochromis niloticus,GCF_001858045.2,gene,MAPK,mapk1,source:duplicate-suffix,NC_031977.2,35146189,21,19,17,chr24,NC_069733.1,-0.9460784313725492,8721425,19995014,15125090,11273589,mapk1,1.6057680058046377e-30,0.882,moderate
W026,Oreochromis niloticus,GCF_001858045.2,gene,ghrh,ghrh,source:exact/synonym,NC_031970.2,33695619,21,18,10,chr20,NC_069729.1,1.0,18307773,18532263,18406772,224490,ghrh,5.8379542401483415e-15,1.0,strong
W026,Oreochromis niloticus,GCF_001858045.2,gene,eif4e3,LOC100689919,catfish-bridge:RBH,NC_031970.2,32354169,21,15,14,chr2,NC_069711.1,-1.0,7076975,8262182,7917898,1185207,,6.371095831407633e-26,1.0,strong
W026,Oreochromis niloticus,GCF_001858045.2,gene,ntrk3a,ntrk3a,source:exact/synonym,NC_031972.2,40082224,21,12,5,chr9,NC_069718.1,-1.0,18336003,18675752,19062058,339749,,2.81067780988277e-07,1.0,moderate
W028,Hypophthalmichthys nobilis,GCF_019924925.1,gene,fndc5b,fndc5b,source:exact/synonym,NC_067238.1,22345352,21,20,19,chr29,NC_069738.1,1.0,7133752,8249561,7723719,1115809,fndc5b,3.254130273935032e-35,1.0,strong
W030,Leiocassis longirostris,GCF_022655615.1,gene,ky,ky,source:exact/synonym,NC_062521.1,12170100,21,21,21,chr3,NC_069712.1,-1.0,19705336,20513932,20139004,808596,ky,2.819598811289979e-40,1.0,strong
W030,Leiocassis longirostris,GCF_022655615.1,gene,matn1,matn1,source:exact/synonym,NC_062541.1,11827314,21,21,21,chr23,NC_069732.1,1.0,12696994,13003468,12828415,306474,matn1,2.819598811289979e-40,1.0,strong
W030,Leiocassis longirostris,GCF_022655615.1,gene,sdc3,sdc3,source:exact/synonym,NC_062541.1,11795217,21,21,21,chr23,NC_069732.1,1.0,12647269,12920801,12794878,273532,sdc3,2.819598811289979e-40,1.0,strong
W030,Leiocassis longirostris,GCF_022655615.1,gene,kif3a,kif3a,source:exact/synonym,NC_062527.1,16528255,21,21,21,chr9,NC_069718.1,-1.0,9265565,10151761,9716042,886196,kif3a,2.819598811289979e-40,1.0,strong
W030,Leiocassis longirostris,GCF_022655615.1,gene,rerg,rerg,source:exact/synonym,NC_062536.1,6011838,21,17,16,chr18,NC_069727.1,0.9411764705882352,9646224,10249554,9944350,603330,rerg,1.2355998859424853e-29,0.75,strong
W030,Leiocassis longirostris,GCF_022655615.1,gene,enox2,enox2,source:exact/synonym,NC_062527.1,16094387,21,21,21,chr9,NC_069718.1,-1.0,9716042,10736562,10151761,1020520,enox2,2.819598811289979e-40,1.0,strong
W032,Paralichthys olivaceus,GCF_024713975.1,gene,AXDND1,axdnd1,source:exact/synonym,NC_091095.1,7539060,21,16,15,chr11,NC_069720.1,-0.3749999999999999,12418197,23926150,15170209,11507953,axdnd1,8.889850996713183e-28,0.4,weak
W033,Siniperca chuatsi,GCF_020085105.1,gene,asns,asns,source:exact/synonym,NC_058058.1,25359985,21,17,14,chr29,NC_069738.1,-0.2967032967032967,5358761,10325361,5997540,4966600,asns,2.8181364189576148e-24,0.714,strong
W033,Siniperca chuatsi,GCF_020085105.1,gene,tg,tg,source:exact/synonym,NC_058050.1,903575,21,11,6,chr1,NC_069710.1,0.1428571428571428,20371730,20808875,20371730,437145,tg,2.1888726738508796e-09,0.833,strong
W033,Siniperca chuatsi,GCF_020085105.1,gene,htra1,htra1b,source:duplicate-suffix,NC_058061.1,2703218,21,13,7,chr12,NC_069721.1,0.25,16618661,18334929,16987197,1716268,,1.0501723997700504e-10,0.714,strong
W033,Siniperca chuatsi,GCF_020085105.1,gene,rnf213,rnf213a,source:duplicate-suffix,NC_058062.1,11775310,21,12,11,chr13,NC_069722.1,0.1,15586788,17921454,15669976,2334666,rnf213a,2.277053400585219e-20,0.818,strong
W033,Siniperca chuatsi,GCF_020085105.1,gene,ttn,ttn.2,source:duplicate-suffix,NC_058053.1,28733858,21,14,6,chr5,NC_069714.1,-0.1428571428571428,26927392,32546245,27043979,5618853,ttn.2,1.3755073624700028e-08,0.667,moderate
W033,Siniperca chuatsi,GCF_020085105.1,gene,tgfbr2,tgfbr2b,source:duplicate-suffix,NC_058050.1,26749477,21,18,8,chr1,NC_069710.1,-1.0,18098577,19946552,18611152,1847975,,3.3396300054674085e-11,1.0,strong
W033,Siniperca chuatsi,GCF_020085105.1,gene,nck2,LOC122885121,catfish-bridge:RBH,NC_058053.1,18588294,21,19,18,chr5,NC_069714.1,-1.0,12058163,14634193,12301311,2576030,nck2a,2.3631870223797266e-33,1.0,strong
W034,Tachysurus fulvidraco,GCF_022655615.1,gene,stat5b,stat5b,source:exact/synonym,NC_062525.1,20306777,21,16,16,chr12,NC_069721.1,1.0,1464665,1811076,1588169,346411,stat5b,7.358840430354957e-31,1.0,strong
W034,Tachysurus fulvidraco,GCF_022655615.1,gene,kcnh4,kcnh4a,source:duplicate-suffix,NC_062532.1,17879534,21,20,20,chr13,NC_069722.1,-1.0,6290424,6913587,6544187,623163,kcnh4a,2.155319867392645e-38,1.0,strong
W034,Tachysurus fulvidraco,GCF_022655615.1,gene,ptrf,cavin1b,alias(zebrafish):exact/synonym,NC_062542.1,8013815,21,21,21,chr22,NC_069731.1,1.0,8486296,9558580,8880451,1072284,cavin1b,2.819598811289979e-40,1.0,strong
W034,Tachysurus fulvidraco,GCF_022655615.1,gene,rab5c,rab5c,source:exact/synonym,NC_062532.1,17920201,21,20,20,chr13,NC_069722.1,-1.0,6282463,6907301,6509467,624838,rab5c,2.155319867392645e-38,1.0,strong
W034,Tachysurus fulvidraco,GCF_022655615.1,gene,stat3,stat3,source:exact/synonym,NC_062532.1,17624135,21,19,19,chr13,NC_069722.1,-1.0,6361382,7007542,6766808,646160,stat3,1.6475406757077463e-36,1.0,strong
W035,Clarias macrocephalus,GCF_024256425.1,gene,egln2,egln2,source:exact/synonym,NC_071110.1,12272762,21,20,20,chr14,NC_069723.1,-1.0,16094193,16560493,16377488,466300,egln2,2.155319867392645e-38,1.0,strong
W035,Clarias macrocephalus,GCF_024256425.1,gene,zfyve21,zfyve21,source:exact/synonym,NC_071107.1,32956181,21,17,17,chr3,NC_069712.1,0.9950980392156864,28906325,30496487,30070770,1590162,zfyve21,9.626867011160682e-33,0.882,strong
W035,Clarias macrocephalus,GCF_024256425.1,gene,jph3a,jph3a,source:exact/synonym,NC_071114.1,26631067,21,20,19,chr11,NC_069720.1,0.9982456140350876,5082873,5520616,5407086,437743,jph3a,3.254130273935032e-35,0.947,strong
W037,Epinephelus coioides,GCA_051314025.1,gene,bmp7,ABVT39_013450,catfish-bridge:RBH,CM120184.1,31746140,21,12,9,chr16,NC_069725.1,0.5,542677,3506618,2262383,2963941,,2.382724713378349e-15,0.556,moderate
W037,Epinephelus coioides,GCA_051314025.1,gene,sema3a,ABVT39_013864,catfish-bridge:RBH,CM120201.1,14132955,21,7,4,chr18,NC_069727.1,1.0,7655358,7886860,7717272,231502,sema3aa,9.93274100991194e-07,1.0,moderate
W037,Epinephelus coioides,GCA_051314025.1,gene,capzb,ABVT39_027618,catfish-bridge:RBH,CM120179.1,25155734,21,17,16,chr20,NC_069729.1,1.0,451869,720867,605571,268998,capzb,1.2355998859424853e-29,1.0,strong
W037,Epinephelus coioides,GCA_051314025.1,gene,eps8l2,ABVT39_003391,catfish-bridge:RBH,CM120182.1,29547940,21,18,14,chr9,NC_069718.1,-0.3626373626373627,20046602,24151263,23370301,4104661,eps8l2,1.2526798224688829e-23,0.786,strong
W040,Channa maculata,GCF_033026475.1,gene,HS6ST1,hs6st1a,source:duplicate-suffix,NC_090212.1,14864217,21,14,8,chr4,NC_069713.1,-1.0,31095420,31514170,31378873,418750,,2.4015556399957098e-12,1.0,strong
W041,Ctenopharyngodon idella,GCF_019924925.1,gene,cers5,cers5,source:exact/synonym,NC_067229.1,3365691,21,10,10,chr20,NC_069729.1,-1.0,14534988,14628633,14534988,93645,cers5,1.4681007688141322e-19,1.0,strong
W041,Ctenopharyngodon idella,GCF_019924925.1,gene,ctnnbip1,ctnnbip1,source:exact/synonym,NC_067241.1,20011856,21,21,21,chr16,NC_069725.1,1.0,7319023,7748621,7557772,429598,ctnnbip1,2.819598811289979e-40,1.0,strong
W041,Ctenopharyngodon idella,GCF_019924925.1,gene,smoc2,smoc2,source:exact/synonym,NC_067232.1,4407037,21,15,12,chr3,NC_069712.1,-0.9930069930069932,29481047,30375190,30192593,894143,smoc2,1.10227651958724e-20,0.917,strong
W041,Ctenopharyngodon idella,GCF_019924925.1,gene,ano6,ano6,source:exact/synonym,NC_067223.1,16238512,21,15,7,chr9,NC_069718.1,-1.0,26126940,26205245,26254574,78305,,3.8486113193518545e-10,1.0,strong
W041,Ctenopharyngodon idella,GCF_019924925.1,gene,pwp1,pwp1,source:exact/synonym,NC_067223.1,16248326,21,15,8,chr9,NC_069718.1,-1.0,26092880,26205245,26252515,112365,,5.086401318390132e-12,1.0,strong
W041,Ctenopharyngodon idella,GCF_019924925.1,gene,chrebp,mlxip,alias(zebrafish):exact/synonym,NC_067224.1,4445269,21,20,13,chr27,NC_069736.1,0.8846153846153846,1283650,6271722,3890717,4988072,,2.339094986407962e-20,0.923,strong
W041,Ctenopharyngodon idella,GCF_019924925.1,gene,lsr,lsr,source:exact/synonym,NC_067234.1,14515104,21,15,15,chr14,NC_069723.1,0.9285714285714284,17021389,21463770,17248459,4442381,lsr,5.625146001980318e-29,0.733,strong
W042,Lateolabrax maculatus,GCA_031216445.1,gene,SORCS2,sorcs2,source:exact/synonym,CM062207.1,16154846,21,17,6,chr4,NC_069713.1,0.1428571428571428,19628254,21722389,23182015,2094135,,5.480593325655092e-08,0.833,strong
W042,Lateolabrax maculatus,GCA_031216445.1,gene,SLC7A8,slc7a8a,source:duplicate-suffix,CM062207.1,6690081,21,14,14,chr4,NC_069713.1,0.912087912087912,11367649,11979473,11575940,611824,slc7a8a,4.299898583623572e-27,0.714,strong
W043,Lateolabrax maculatus,GCA_031216445.1,gene,c4b,c4b,source:exact/synonym,CM062199.1,13296308,21,11,10,chr1,NC_069710.1,-1.0,21771409,22207727,22171580,436318,c4b,1.595705087676853e-18,1.0,strong
W043,Lateolabrax maculatus,GCA_031216445.1,gene,fgf4,fgf4,source:exact/synonym,CM062198.1,3799104,21,17,12,chr11,NC_069720.1,-0.6363636363636365,4510293,8573760,4547848,4063467,fgf4,1.4631184298864478e-19,0.667,moderate
W043,Lateolabrax maculatus,GCA_031216445.1,gene,dnajb9,dnajb9a,source:duplicate-suffix,CM062214.1,20557250,21,16,8,chr9,NC_069718.1,-1.0,20542875,21054428,21067418,511553,,1.0054630838310446e-11,1.0,strong
W044,Micropterus salmoides,GCF_014851395.1,gene,igf1,igf1,source:exact/synonym,NW_024041484.1,20523910,21,19,9,chr18,NC_069727.1,0.9833333333333332,1244173,3569837,3412760,2325664,igf1,9.209593346144497e-13,0.889,strong
W044,Micropterus salmoides,GCF_014851395.1,gene,myf5,myf5,source:exact/synonym,NW_024041484.1,19751846,21,17,8,chr18,NC_069727.1,-1.0,1244173,1617224,1462791,373051,myf5,1.8771492928204855e-11,1.0,strong
W044,Micropterus salmoides,GCF_014851395.1,gene,myf6,myf6,source:exact/synonym,NW_024041484.1,19757545,21,18,8,chr18,NC_069727.1,-1.0,1244173,1617224,1444948,373051,myf6,3.3396300054674085e-11,1.0,strong
W044,Micropterus salmoides,GCF_014851395.1,gene,igf2r,igf2r,source:exact/synonym,NW_024040928.1,24658924,21,13,9,chr19,NC_069728.1,-0.1833333333333333,16857840,17178111,16966131,320271,igf2r,7.652713387304902e-15,0.444,weak
W044,Micropterus salmoides,GCF_014851395.1,gene,cavin4b,cavin4b,source:exact/synonym,NW_024040040.1,54017149,21,1,1,chr1,NC_069710.1,,9521722,9521722,9521722,0,cavin4b,0.013082043430987,,unsupported
W045,Siniperca chuatsi,GCF_020085105.1,gene,AKT2,akt2,source:exact/synonym,NC_058048.1,9298151,21,13,5,chr14,NC_069723.1,1.0,21837748,21939055,21665567,101307,,4.517670018495446e-07,1.0,moderate
W045,Siniperca chuatsi,GCF_020085105.1,gene,CCNT2,ccnt2a,source:duplicate-suffix,NC_058053.1,7126113,21,17,10,chr5,NC_069714.1,-0.0303030303030303,5001948,7566054,5022128,2564106,ccnt2a,2.625852950332614e-15,0.6,moderate
W045,Siniperca chuatsi,GCF_020085105.1,gene,EPB41L2,epb41l2,source:exact/synonym,NC_058057.1,12015194,21,16,6,chr30,NC_069739.1,0.4285714285714286,1346306,4985374,2097260,3639068,epb41l2,3.586385141212955e-08,0.833,strong
W045,Siniperca chuatsi,GCF_020085105.1,gene,CAMKMT,camkmt,source:exact/synonym,NC_058052.1,21230025,21,19,11,chr3,NC_069712.1,1.0,21218534,21666620,21433529,448086,camkmt,1.3180944592060843e-16,1.0,strong
W046,Sparus aurata,GCF_900880675.2,gene,ncan,ncanb,source:duplicate-suffix,NC_044197.1,10304114,21,17,15,chr11,NC_069720.1,1.0,15365325,15871208,15639048,505883,ncanb,7.463703355760517e-27,1.0,strong
W046,Sparus aurata,GCF_900880675.2,gene,znf292,znf292a,source:duplicate-suffix,NC_044202.1,12843641,21,19,16,chr10,NC_069719.1,-0.6147058823529412,10039508,14003722,11533998,3964214,znf292a,6.8705661178028585e-28,0.562,moderate
W046,Sparus aurata,GCF_900880675.2,gene,traf2a,traf2a,source:exact/synonym,NC_044191.1,2258960,21,18,15,chr24,NC_069733.1,-0.6,13055904,16528976,14148458,3473072,traf2a,4.4233045891554237e-26,0.6,moderate
W046,Sparus aurata,GCF_900880675.2,gene,tnc,tncb,source:duplicate-suffix,NC_044191.1,2383108,21,18,15,chr24,NC_069733.1,-0.6,13055904,16528976,14045728,3473072,tncb,4.4233045891554237e-26,0.6,moderate
W046,Sparus aurata,GCF_900880675.2,gene,zfr,zfr,source:exact/synonym,NC_044191.1,5684314,21,9,4,chr24,NC_069733.1,-0.1999999999999999,13247518,15020227,13247518,1772709,zfr,3.5014472264888736e-06,0.75,moderate
W046,Sparus aurata,GCF_900880675.2,gene,uqcc1,uqcc1,source:exact/synonym,NC_044192.1,1885075,21,7,5,chr2,NC_069711.1,0.0,6366291,6504646,6405500,138355,LOC113532448,7.871865109424955e-09,0.8,moderate
W046,Sparus aurata,GCF_900880675.2,gene,gdf5,gdf5,source:exact/synonym,NC_044192.1,1978919,21,7,6,chr2,NC_069711.1,-0.4285714285714286,6295112,6504646,6461396,209534,gdf5,3.4693988364952326e-11,0.667,moderate
W046,Sparus aurata,GCF_900880675.2,gene,hmgcra,hmgcra,source:exact/synonym,NC_044191.1,4203103,21,16,6,chr24,NC_069733.1,-0.3714285714285715,7576401,8484031,7576401,907630,hmgcra,3.586385141212955e-08,0.667,moderate
W046,Sparus aurata,GCF_900880675.2,gene,gnai2b,LOC115583474,catfish-bridge:RBH,NC_044192.1,18155410,21,14,10,chr2,NC_069711.1,0.9515151515151514,8505682,8923878,8833663,418196,gnai2b,1.400907326632718e-16,0.8,strong
W049,Epinephelus tukula,GCF_041903045.1,gene,CCDC102A,ccdc102a,source:exact/synonym,NC_135735.1,5338707,21,20,8,chr11,NC_069720.1,-0.4285714285714286,807434,10535948,807434,9728514,ccdc102a,9.392136246587803e-11,0.625,moderate
W049,Epinephelus tukula,GCF_041903045.1,gene,NTRK2,ntrk2a,source:duplicate-suffix,NC_135742.1,21942948,21,11,8,chr8,NC_069717.1,1.0,23993298,24157376,24073839,164078,ntrk2a,1.366631909552117e-13,1.0,strong
W049,Epinephelus tukula,GCF_041903045.1,gene,CTSL,ctsla,source:duplicate-suffix,NC_135742.1,8496724,21,15,15,chr24,NC_069733.1,0.2142857142857142,8721425,14939822,11271231,6218397,ctsla,5.625146001980318e-29,0.667,moderate
W049,Epinephelus tukula,GCF_041903045.1,gene,OTOF,otofa,source:duplicate-suffix,NC_135746.1,19759480,21,17,10,chr30,NC_069739.1,-0.9878787878787878,10436877,11328269,10925269,891392,,2.625852950332614e-15,0.9,strong
W049,Epinephelus tukula,GCF_041903045.1,gene,nes,nes,source:exact/synonym,NC_135743.1,5118368,21,10,7,chr1,NC_069710.1,1.0,19631510,19790995,19790995,159485,nes,7.601744729503754e-12,1.0,strong
W051,Mastacembelus armatus,GCF_900324485.3,gene,ppt1,ppt1,source:exact/synonym,NC_046643.1,17002443,21,18,10,chr23,NC_069732.1,-0.9515151515151514,13029156,14883609,13054116,1854453,ppt1,5.8379542401483415e-15,0.8,strong
W051,Mastacembelus armatus,GCF_900324485.3,gene,cap1,cap1,source:exact/synonym,NC_046643.1,16993868,21,19,11,chr23,NC_069732.1,-0.9636363636363636,13029156,14887254,13046102,1858098,cap1,1.3180944592060843e-16,0.818,strong
W051,Mastacembelus armatus,GCF_900324485.3,gene,fgfr2,fgfr2,source:exact/synonym,NC_046647.1,8043153,21,19,13,chr3,NC_069712.1,0.2087912087912088,24302486,31133723,26661917,6831237,fgfr2,8.287467159120525e-21,0.462,weak
W052,Micropterus salmoides,GCF_014851395.1,gene,llgl2,llgl2,source:exact/synonym,NW_024041262.1,2971344,21,17,16,chr12,NC_069721.1,0.6,7763270,22747032,13683873,14983762,llgl2,1.2355998859424853e-29,0.5,moderate
W052,Micropterus salmoides,GCF_014851395.1,gene,myo15b,myo15b,source:exact/synonym,NW_024041262.1,3027444,21,16,12,chr12,NC_069721.1,0.7412587412587414,7763270,16906891,16906891,9143621,myo15b,4.355874532182964e-20,0.417,weak
W052,Micropterus salmoides,GCF_014851395.1,gene,plcd3a,plcd3a,source:exact/synonym,NW_024040041.1,26140656,21,19,16,chr13,NC_069722.1,-0.9705882352941176,5386201,7277648,6022088,1891447,plcd3a,6.8705661178028585e-28,0.812,strong
W052,Micropterus salmoides,GCF_014851395.1,gene,galk1,galk1,source:exact/synonym,NW_024041262.1,2947953,21,17,16,chr12,NC_069721.1,0.5,7763270,22747032,13699694,14983762,galk1,1.2355998859424853e-29,0.5,moderate
W052,Micropterus salmoides,GCF_014851395.1,gene,acbd4,acbd4,source:exact/synonym,NW_024041262.1,2898524,21,17,16,chr12,NC_069721.1,0.1529411764705882,7763270,22551635,9629268,14788365,acbd4,1.2355998859424853e-29,0.375,weak
W052,Micropterus salmoides,GCF_014851395.1,gene,pard3,pard3ab,alias(zebrafish):exact/synonym,NW_024040485.1,5436120,21,6,2,chr21,NC_069730.1,,8646342,9145657,10310725,499315,,0.0024788523691293,1.0,weak
W053,Oncorhynchus mykiss,GCF_013265735.2,gene,sema6ba,sema6bb,catfish-bridge:RBH,NC_048569.1,65257430,21,10,8,chr8,NC_069717.1,0.9761904761904764,2130048,2632582,2322473,502534,,3.7710162232684357e-14,0.875,strong
W054,Oreochromis niloticus,GCF_001858045.2,gene,galnt9,galnt9,source:exact/synonym,NC_031977.2,8960129,21,19,10,chr24,NC_069733.1,0.3939393939393939,16680696,19927353,19362993,3246657,galnt9,1.2178115122623603e-14,0.7,strong
W054,Oreochromis niloticus,GCF_001858045.2,gene,esrrg,esrrga,source:duplicate-suffix,NC_031965.2,26557852,21,14,5,chr10,NC_069719.1,-1.0,23475753,24040643,23773737,564890,esrrga,6.951069619744581e-07,1.0,moderate
W054,Oreochromis niloticus,GCF_001858045.2,gene,map7,map7a,source:duplicate-suffix,NC_031983.2,20277987,21,14,8,chr10,NC_069719.1,-0.3333333333333334,11484773,12933165,12240691,1448392,,2.4015556399957098e-12,0.875,strong
W054,Oreochromis niloticus,GCF_001858045.2,gene,mtfr2,mtfr2,source:exact/synonym,NC_031980.2,7914485,21,17,10,chr16,NC_069725.1,1.0,4808118,5147622,4815314,339504,mtfr2,2.625852950332614e-15,1.0,strong
W054,Oreochromis niloticus,GCF_001858045.2,gene,kcnj8,kcnj8,source:exact/synonym,NC_031981.2,19384239,21,14,12,chr18,NC_069727.1,-0.7762237762237763,6063856,12705812,10581395,6641956,kcnj8,2.2314960643585074e-21,0.417,weak
W054,Oreochromis niloticus,GCF_001858045.2,gene,fhit,fhit,source:exact/synonym,NC_031970.2,35853340,21,9,3,chr20,NC_069729.1,1.0,20639660,20666538,20556531,26878,,0.0001772784694413,1.0,weak
W054,Oreochromis niloticus,GCF_001858045.2,gene,dnm1,dnm1a,source:duplicate-suffix,NC_031972.2,20436629,21,20,19,chr27,NC_069736.1,0.8526315789473684,2243675,5113786,3372282,2870111,dnm1a,3.254130273935032e-35,0.632,moderate
W054,Oreochromis niloticus,GCF_001858045.2,gene,cald1,cald1a,source:duplicate-suffix,NC_031981.2,6845078,21,20,17,chr18,NC_069727.1,0.9754901960784316,15349822,17043008,16111117,1693186,cald1a,1.0572865713869105e-29,0.824,strong
W054,Oreochromis niloticus,GCF_001858045.2,gene,plxnb2,plxnb2a.1,alias(zebrafish):exact/synonym,NC_031981.2,19143373,21,13,12,chr18,NC_069727.1,-0.3916083916083916,6063856,12705812,10929773,6641956,,3.2268148378939545e-22,0.667,moderate
W054,Oreochromis niloticus,GCF_001858045.2,gene,nuak1,nuak1b,source:duplicate-suffix,NC_031972.2,47319970,21,19,17,chr9,NC_069718.1,-0.5000000000000001,20275620,24045553,24045553,3769933,nuak1b,1.6057680058046377e-30,0.529,moderate
W054,Oreochromis niloticus,GCF_001858045.2,gene,bpgm,bpgm,source:exact/synonym,NC_031972.2,48121690,21,15,9,chr7,NC_069716.1,1.0,23486627,23634615,23557027,147988,bpgm,5.2315671400590404e-14,1.0,strong
W056,Ctenopharyngodon idella,GCF_019924925.1,gene,UBL5,LOC127518363,catfish-bridge:RBH,NC_067220.1,3580462,21,7,7,chr26,NC_069735.1,0.9642857142857144,18403555,18572244,18503631,168689,ubl5,6.557361194583971e-14,0.857,strong
W056,Ctenopharyngodon idella,GCF_019924925.1,gene,GNG7,gng7,source:exact/synonym,NC_067221.1,6423207,21,11,11,chr4,NC_069713.1,-0.4090909090909091,27445422,27628395,27628395,182973,gng7,1.9205758018691918e-21,0.545,moderate
W056,Ctenopharyngodon idella,GCF_019924925.1,gene,SLC16A2,slc16a2,source:exact/synonym,NC_067233.1,22937983,21,16,9,chr9,NC_069718.1,0.5,9208972,12430068,11118838,3221096,,1.18171798469816e-13,0.556,moderate
W057,Culter alburnus,GCA_040182925.1,gene,aig1,ABG768_014434,catfish-bridge:RBH,CM079601.1,29640876,21,15,15,chr30,NC_069739.1,-0.4107142857142856,12029294,12380046,12099479,350752,aig1,5.625146001980318e-29,0.667,moderate
W057,Culter alburnus,GCA_040182925.1,gene,cacna1b,ABG768_023021,catfish-bridge:RBH,CM079586.1,36092723,21,19,19,chr24,NC_069733.1,1.0,14174388,14758553,14533559,584165,cacna1ba,1.6475406757077463e-36,1.0,strong
W057,Culter alburnus,GCA_040182925.1,gene,pgm5,ABG768_026559,catfish-bridge:RBH,CM079589.1,22649574,21,14,10,chr8,NC_069717.1,-0.0303030303030303,13632748,16623069,15150717,2990321,,1.400907326632718e-16,0.8,strong
W057,Culter alburnus,GCA_040182925.1,gene,bcr,ABG768_015116,catfish-bridge:RBH,CM079602.1,13074254,21,17,17,chr15,NC_069724.1,-0.1151960784313725,18480375,22254333,22151890,3773958,bcr,9.626867011160682e-33,0.824,strong
W059,Lateolabrax maculatus,GCA_031216445.1,gene,cdk5,cdk5,source:exact/synonym,CM062203.1,10634122,21,19,14,chr1,NC_069710.1,0.3626373626373627,13047709,13909802,13909802,862093,cdk5,4.702074783788356e-23,0.714,strong
W060,Paralichthys olivaceus,GCF_024713975.1,gene,fras1,fras1,source:exact/synonym,NC_091096.1,2549954,21,14,12,chr24,NC_069733.1,-1.0,11911720,12455799,12034600,544079,fras1,2.2314960643585074e-21,1.0,strong
W060,Paralichthys olivaceus,GCF_024713975.1,gene,nkd1,nkd1,source:exact/synonym,NC_091093.1,8868854,21,19,14,chr25,NC_069734.1,1.0,3288521,4873525,3766091,1585004,nkd1,4.702074783788356e-23,1.0,strong
W060,Paralichthys olivaceus,GCF_024713975.1,gene,lamb4,lamb4,source:exact/synonym,NC_091099.1,28466,11,8,4,chr7,NC_069716.1,0.6000000000000001,29612511,30337729,29200145,725218,,1.965785262026166e-06,0.5,moderate
W061,Plecoglossus altivelis,GCF_021917145.1,gene,abat,abat,source:exact/synonym,NW_025813701.1,244341,7,3,2,chr13,NC_069722.1,,23582317,24079708,24079708,497391,abat,0.0005089418628194,1.0,weak
W061,Plecoglossus altivelis,GCF_021917145.1,gene,maml3,maml3,source:exact/synonym,NC_061081.1,73848,18,10,5,chr3,NC_069712.1,0.3999999999999999,7816096,9105079,7816096,1288983,maml3,9.140939860521625e-08,0.8,moderate
W061,Plecoglossus altivelis,GCF_021917145.1,gene,slc25a12,slc25a12,source:exact/synonym,NC_061069.1,7994556,21,15,5,chr26,NC_069735.1,1.0,7244283,12212540,11481223,4968257,,1.031326168651749e-06,1.0,moderate
W061,Plecoglossus altivelis,GCF_021917145.1,gene,dnah10,dnah10,source:exact/synonym,NW_025813938.1,1764499,21,18,12,chr24,NC_069733.1,0.5244755244755246,13657575,19236525,18805194,5578950,dnah10,4.336369949999748e-19,0.583,moderate
L001,Scophthalmus maximus,GCF_022379125.1,gene,fam81b,fam81b,source:exact/synonym,NC_061533.1,16015972,21,17,16,chr24,NC_069733.1,0.7323529411764707,6975266,10773420,7481681,3798154,fam81b,1.2355998859424853e-29,0.938,strong
L001,Scophthalmus maximus,GCF_022379125.1,gene,atrn,atrn,source:exact/synonym,NC_061529.1,2922100,21,17,16,chr3,NC_069712.1,-1.0,19640469,20201040,19998840,560571,atrn,1.2355998859424853e-29,1.0,strong
L001,Scophthalmus maximus,GCF_022379125.1,gene,iqgap1,iqgap1,source:exact/synonym,NC_061518.1,1504160,21,19,18,chr25,NC_069734.1,-0.4716202270381837,9539546,12870831,10471238,3331285,iqgap1,2.3631870223797266e-33,0.889,strong
L001,Scophthalmus maximus,GCF_022379125.1,gene,enah,enah,source:exact/synonym,NC_061532.1,3827632,21,17,8,chr19,NC_069728.1,1.0,1471173,2497877,2240513,1026704,enah,1.8771492928204855e-11,1.0,strong
L001,Scophthalmus maximus,GCF_022379125.1,gene,baz2a,baz2a,source:exact/synonym,NC_061517.1,2405989,21,13,7,chr16,NC_069725.1,-0.25,1145850,6801040,4319873,5655190,,1.0501723997700504e-10,0.714,strong
L001,Scophthalmus maximus,GCF_022379125.1,gene,amd1,amd1,source:exact/synonym,NC_061532.1,1501443,21,17,14,chr30,NC_069739.1,0.7978021978021977,228660,5845737,3894687,5617077,amd1,2.8181364189576148e-24,0.5,moderate
L002,Channa argus,GCF_033026475.1,gene,COL2A1,col2a1b,source:duplicate-suffix,NC_090201.1,18718410,21,14,8,chr20,NC_069729.1,0.9761904761904764,21404494,22036254,21942037,631760,,2.4015556399957098e-12,0.875,strong
L002,Channa argus,GCF_033026475.1,gene,PYGM,pygma,source:duplicate-suffix,NC_090220.1,862804,21,18,14,chr15,NC_069724.1,-0.2571428571428571,5616420,9089991,6044554,3473571,pygma,1.2526798224688829e-23,0.786,strong
