rank,symbol,gene_id,src_start,src_end,src_strand,cat_gene,cat_seqid,cat_pos,cat_symbol,locus_id,species,assembly,anchor_label,anchor_kind
8,LOC106566907,LOC106566907,34821026,34851117,+,,,,,W001,Salmo salar,GCF_965601325.1,E2F,gene
9,LOC106566908,LOC106566908,34864058,34888037,+,,,,,W001,Salmo salar,GCF_965601325.1,E2F,gene
10,si:ch73-217n20.1,si:ch73-217n20.1,34898473,34906521,+,si:ch73-217n20.1,NC_069725.1,23020001.0,si:ch73-217n20.1,W001,Salmo salar,GCF_965601325.1,E2F,gene
-10,LOC106580237,LOC106580237,12140635,12173412,+,LOC113540008,NC_069713.1,24067825.0,LOC113540008,W002,Salmo salar,GCF_965601325.1,POMT1,gene
-9,LOC106580235,LOC106580235,12213718,12247991,+,,,,,W002,Salmo salar,GCF_965601325.1,POMT1,gene
-8,LOC100196865,LOC100196865,12333764,12345406,+,olfm1a,NC_069733.1,6481124.0,olfm1a,W002,Salmo salar,GCF_965601325.1,POMT1,gene
-7,LOC106580130,LOC106580130,12376188,12408188,-,,,,,W002,Salmo salar,GCF_965601325.1,POMT1,gene
-6,LOC106580129,LOC106580129,12527577,12756848,+,,,,,W002,Salmo salar,GCF_965601325.1,POMT1,gene
-5,LOC106580128,LOC106580128,12797949,12829742,+,phf19,NC_069717.1,6510168.0,phf19,W002,Salmo salar,GCF_965601325.1,POMT1,gene
-4,LOC106580127,LOC106580127,12848349,12969145,+,,,,,W002,Salmo salar,GCF_965601325.1,POMT1,gene
-3,LOC106580126,LOC106580126,12983194,13030874,-,ntng2a,NC_069717.1,6685415.0,ntng2a,W002,Salmo salar,GCF_965601325.1,POMT1,gene
-2,LOC106580125,LOC106580125,13031931,13135361,+,,,,,W002,Salmo salar,GCF_965601325.1,POMT1,gene
-1,LOC106580123,LOC106580123,13177366,13230936,+,rapgef1a,NC_069717.1,6826698.0,rapgef1a,W002,Salmo salar,GCF_965601325.1,POMT1,gene
0,pomt1,pomt1,13272168,13286669,+,pomt1,NC_069733.1,7642737.0,pomt1,W002,Salmo salar,GCF_965601325.1,POMT1,gene
1,card9,card9,13319795,13324711,-,,,,,W002,Salmo salar,GCF_965601325.1,POMT1,gene
2,LOC106580121,LOC106580121,13327726,13356143,-,,,,,W002,Salmo salar,GCF_965601325.1,POMT1,gene
3,entr1,entr1,13366643,13371154,-,entr1,NC_069733.1,7686898.0,entr1,W002,Salmo salar,GCF_965601325.1,POMT1,gene
4,LOC106580118,LOC106580118,13371171,13379326,+,chek2,NC_069733.1,20464487.0,chek2,W002,Salmo salar,GCF_965601325.1,POMT1,gene
5,gstt2,gstt2,13378289,13381870,-,gstt2,NC_069733.1,20455453.0,gstt2,W002,Salmo salar,GCF_965601325.1,POMT1,gene
6,slc2a11b,slc2a11b,13387290,13406284,-,,,,,W002,Salmo salar,GCF_965601325.1,POMT1,gene
7,si:dkey-98f17.5,si:dkey-98f17.5,13407127,13424168,+,si:dkey-98f17.5,NC_069733.1,15393085.0,si:dkey-98f17.5,W002,Salmo salar,GCF_965601325.1,POMT1,gene
8,LOC106580115,LOC106580115,13425713,13477772,-,LOC113536904,NC_069733.1,15361417.0,LOC113536904,W002,Salmo salar,GCF_965601325.1,POMT1,gene
9,lztr1,lztr1,13481354,13494052,-,lztr1,NC_069733.1,15327137.0,lztr1,W002,Salmo salar,GCF_965601325.1,POMT1,gene
10,gal3st1a,gal3st1a,13496070,13517359,-,gal3st1a,NC_069733.1,15242420.0,gal3st1a,W002,Salmo salar,GCF_965601325.1,POMT1,gene
-10,LOC123727133,LOC123727133,75878220,75883575,-,wfdc2,NC_069725.1,14138598.0,wfdc2,W002,Salmo salar,GCF_965601325.1,AGRN,gene
-9,mfn2,mfn2,75911706,75936110,-,mfn2,NC_069717.1,22902008.0,mfn2,W002,Salmo salar,GCF_965601325.1,AGRN,gene
-8,plod1a,plod1a,75936855,75953203,-,plod1a,NC_069717.1,22882234.0,plod1a,W002,Salmo salar,GCF_965601325.1,AGRN,gene
-7,brpf3b,brpf3b,75966968,75980354,-,brpf3b,NC_069717.1,5839351.0,brpf3b,W002,Salmo salar,GCF_965601325.1,AGRN,gene
-6,mapk13,mapk13,75984996,75992746,-,mapk13,NC_069717.1,5821889.0,mapk13,W002,Salmo salar,GCF_965601325.1,AGRN,gene
-5,tafa5l,tafa5l,76037051,76078344,-,tafa5l,NC_069717.1,5731598.0,tafa5l,W002,Salmo salar,GCF_965601325.1,AGRN,gene
-4,mtor,mtor,76114071,76248220,-,mtor,NC_069717.1,22227251.0,mtor,W002,Salmo salar,GCF_965601325.1,AGRN,gene
-3,LOC106572191,LOC106572191,76216050,76220193,+,,,,,W002,Salmo salar,GCF_965601325.1,AGRN,gene
-2,LOC106572192,LOC106572192,76233301,76235361,-,,,,,W002,Salmo salar,GCF_965601325.1,AGRN,gene
-1,LOC106572188,LOC106572188,76266847,76270192,-,,,,,W002,Salmo salar,GCF_965601325.1,AGRN,gene
0,LOC106572186,LOC106572186,76307039,76566753,+,agrn,NC_069725.1,8853258.0,agrn,W002,Salmo salar,GCF_965601325.1,AGRN,gene
1,LOC106572187,LOC106572187,76576563,76638381,+,,,,,W002,Salmo salar,GCF_965601325.1,AGRN,gene
2,LOC106572190,LOC106572190,76641334,76648838,-,,,,,W002,Salmo salar,GCF_965601325.1,AGRN,gene
3,LOC106572185,LOC106572185,76682741,76723250,+,,,,,W002,Salmo salar,GCF_965601325.1,AGRN,gene
4,prex1,prex1,76723732,76831948,+,prex1,NC_069717.1,11860808.0,prex1,W002,Salmo salar,GCF_965601325.1,AGRN,gene
5,LOC106572183,LOC106572183,76835444,76878801,+,,,,,W002,Salmo salar,GCF_965601325.1,AGRN,gene
6,LOC106572184,LOC106572184,76839833,76845581,+,,,,,W002,Salmo salar,GCF_965601325.1,AGRN,gene
7,LOC106572182,LOC106572182,76891789,76965171,+,chrna4b,NC_069720.1,21018422.0,chrna4b,W002,Salmo salar,GCF_965601325.1,AGRN,gene
8,LOC106572181,LOC106572181,77009637,77011916,-,,,,,W002,Salmo salar,GCF_965601325.1,AGRN,gene
9,rtel1,rtel1,77012132,77068062,-,rtel1,NC_069720.1,21051081.0,rtel1,W002,Salmo salar,GCF_965601325.1,AGRN,gene
10,LOC106572179,LOC106572179,77077518,77089898,+,,,,,W002,Salmo salar,GCF_965601325.1,AGRN,gene
-10,LOC106607191,LOC106607191,39829541,39842214,-,,,,,W002,Salmo salar,GCF_965601325.1,NOTCH3,gene
-9,LOC106607192,LOC106607192,39842289,39852346,+,,,,,W002,Salmo salar,GCF_965601325.1,NOTCH3,gene
-8,LOC100194731,LOC100194731,39860938,39864351,+,,,,,W002,Salmo salar,GCF_965601325.1,NOTCH3,gene
-7,LOC106607196,LOC106607196,39869313,39872347,+,,,,,W002,Salmo salar,GCF_965601325.1,NOTCH3,gene
-6,LOC106607195,LOC106607195,39873662,39888224,+,kat7a,NC_069722.1,3191536.0,kat7a,W002,Salmo salar,GCF_965601325.1,NOTCH3,gene
-5,tac4,tac4,39888412,39889943,-,tac4,NC_069722.1,18476110.0,tac4,W002,Salmo salar,GCF_965601325.1,NOTCH3,gene
-4,shfl,shfl,39897248,39904861,-,shfl,NC_069732.1,4845504.0,shfl,W002,Salmo salar,GCF_965601325.1,NOTCH3,gene
-3,LOC106607200,LOC106607200,39916456,39922944,+,,,,,W002,Salmo salar,GCF_965601325.1,NOTCH3,gene
-2,LOC145850298,LOC145850298,39922319,39925501,+,,,,,W002,Salmo salar,GCF_965601325.1,NOTCH3,gene
-1,mfap4,mfap4,39925505,39926971,-,LOC113525124,NC_069735.1,18521778.0,LOC113525124,W002,Salmo salar,GCF_965601325.1,NOTCH3,gene
0,LOC106607201,LOC106607201,39927376,39979719,-,notch3,NC_069732.1,4877110.0,notch3,W002,Salmo salar,GCF_965601325.1,NOTCH3,gene
1,LOC106607202,LOC106607202,40046062,40054418,-,,,,,W002,Salmo salar,GCF_965601325.1,NOTCH3,gene
2,LOC106607203,LOC106607203,40070217,40159058,+,col5a3a,NC_069732.1,5034384.0,col5a3a,W002,Salmo salar,GCF_965601325.1,NOTCH3,gene
3,LOC106607204,LOC106607204,40179355,40264288,+,olfm2a,NC_069732.1,5177025.0,olfm2a,W002,Salmo salar,GCF_965601325.1,NOTCH3,gene
4,LOC106607205,LOC106607205,40308107,40336862,-,,,,,W002,Salmo salar,GCF_965601325.1,NOTCH3,gene
5,icam5,icam5,40336931,40345324,-,icam5,NC_069732.1,5373307.0,icam5,W002,Salmo salar,GCF_965601325.1,NOTCH3,gene
6,LOC106607207,LOC106607207,40346435,40352232,-,,,,,W002,Salmo salar,GCF_965601325.1,NOTCH3,gene
7,p2ry11,p2ry11,40377709,40379547,+,LOC113535910,NC_069732.1,5536721.0,LOC113535910,W002,Salmo salar,GCF_965601325.1,NOTCH3,gene
8,LOC106607209,LOC106607209,40384990,40391078,+,eif3g,NC_069732.1,5546765.0,eif3g,W002,Salmo salar,GCF_965601325.1,NOTCH3,gene
9,LOC106607210,LOC106607210,40391565,40413679,-,,,,,W002,Salmo salar,GCF_965601325.1,NOTCH3,gene
10,LOC106607212,LOC106607212,40415432,40447534,-,,,,,W002,Salmo salar,GCF_965601325.1,NOTCH3,gene
-10,LOC106607040,LOC106607040,36404577,36462137,-,,,,,W002,Salmo salar,GCF_965601325.1,MYH9,gene
-9,rbp,rbp,36481547,36491647,+,,,,,W002,Salmo salar,GCF_965601325.1,MYH9,gene
-8,LOC123743536,LOC123743536,36491423,36499932,+,,,,,W002,Salmo salar,GCF_965601325.1,MYH9,gene
-7,LOC106607037,LOC106607037,36503546,36505416,-,,,,,W002,Salmo salar,GCF_965601325.1,MYH9,gene
-6,LOC106607036,LOC106607036,36555742,36570535,+,hook2,NC_069738.1,3995356.0,hook2,W002,Salmo salar,GCF_965601325.1,MYH9,gene
-5,LOC106607035,LOC106607035,36576025,36578073,+,trir,NC_069738.1,4013206.0,trir,W002,Salmo salar,GCF_965601325.1,MYH9,gene
-4,LOC106607034,LOC106607034,36578351,36588742,-,,,,,W002,Salmo salar,GCF_965601325.1,MYH9,gene
-3,LOC106607033,LOC106607033,36589094,36596175,-,,,,,W002,Salmo salar,GCF_965601325.1,MYH9,gene
-2,LOC106607032,LOC106607032,36600099,36606985,-,,,,,W002,Salmo salar,GCF_965601325.1,MYH9,gene
-1,LOC106607031,LOC106607031,36609278,36618419,-,slc25a38a,NC_069738.1,4348923.0,slc25a38a,W002,Salmo salar,GCF_965601325.1,MYH9,gene
0,LOC100380669,LOC100380669,36618569,36651046,-,myh9b,NC_069738.1,4316049.0,myh9b,W002,Salmo salar,GCF_965601325.1,MYH9,gene
1,LOC106607030,LOC106607030,36662633,36669588,-,,,,,W002,Salmo salar,GCF_965601325.1,MYH9,gene
2,LOC106607029,LOC106607029,36669741,36673664,+,LOC113534792,NC_069738.1,4256817.0,LOC113534792,W002,Salmo salar,GCF_965601325.1,MYH9,gene
3,LOC106601163,LOC106601163,36678660,36686595,+,si:ch211-106h11.3,NC_069738.1,4234046.0,si:ch211-106h11.3,W002,Salmo salar,GCF_965601325.1,MYH9,gene
4,ddx39,ddx39,36687870,36695070,-,ddx39ab,NC_069738.1,4220661.0,ddx39ab,W002,Salmo salar,GCF_965601325.1,MYH9,gene
5,LOC106607027,LOC106607027,36695698,36701413,-,si:ch211-106h11.1,NC_069738.1,4207615.0,si:ch211-106h11.1,W002,Salmo salar,GCF_965601325.1,MYH9,gene
6,LOC106607008,LOC106607008,36702876,36708855,+,,,,,W002,Salmo salar,GCF_965601325.1,MYH9,gene
7,LOC106607026,LOC106607026,36720594,36726864,+,LOC113534607,NC_069738.1,4183524.0,LOC113534607,W002,Salmo salar,GCF_965601325.1,MYH9,gene
8,LOC106607025,LOC106607025,36726289,36737341,-,engl,NC_069738.1,4170703.0,engl,W002,Salmo salar,GCF_965601325.1,MYH9,gene
9,LOC106607024,LOC106607024,36754087,36790311,-,,,,,W002,Salmo salar,GCF_965601325.1,MYH9,gene
10,LOC106607023,LOC106607023,36799066,36831462,-,,,,,W002,Salmo salar,GCF_965601325.1,MYH9,gene
-10,siae,siae,69411478,69426580,+,siae,NC_069715.1,24890778.0,siae,W002,Salmo salar,GCF_965601325.1,MYO18AB,gene
-9,LOC106581216,LOC106581216,69429878,69443865,+,,,,,W002,Salmo salar,GCF_965601325.1,MYO18AB,gene
-8,tbrg1,tbrg1,69443842,69449488,-,tbrg1,NC_069715.1,7360876.0,tbrg1,W002,Salmo salar,GCF_965601325.1,MYO18AB,gene
-7,mmp20b,mmp20b,69450596,69471494,-,mmp20b,NC_069723.1,11517716.0,mmp20b,W002,Salmo salar,GCF_965601325.1,MYO18AB,gene
-6,LOC106581219,LOC106581219,69502504,69507539,+,,,,,W002,Salmo salar,GCF_965601325.1,MYO18AB,gene
-5,LOC106581222,LOC106581222,69521576,69531654,-,tsku,NC_069723.1,21627788.0,tsku,W002,Salmo salar,GCF_965601325.1,MYO18AB,gene
-4,LOC106581221,LOC106581221,69533923,69588535,-,,,,,W002,Salmo salar,GCF_965601325.1,MYO18AB,gene
-3,LOC106581220,LOC106581220,69754244,69764166,-,,,,,W002,Salmo salar,GCF_965601325.1,MYO18AB,gene
-2,LOC106581238,LOC106581238,70073481,70085602,-,,,,,W002,Salmo salar,GCF_965601325.1,MYO18AB,gene
-1,LOC106581239,LOC106581239,70087868,70295631,-,sez6b,NC_069723.1,10916329.0,sez6b,W002,Salmo salar,GCF_965601325.1,MYO18AB,gene
0,LOC106581247,LOC106581247,70335744,70505216,-,myo18ab,NC_069723.1,10756447.0,myo18ab,W002,Salmo salar,GCF_965601325.1,MYO18AB,gene
1,LOC123723881,LOC123723881,70525711,70543906,-,,,,,W002,Salmo salar,GCF_965601325.1,MYO18AB,gene
2,LOC106581250,LOC106581250,70544718,70607205,-,,,,,W002,Salmo salar,GCF_965601325.1,MYO18AB,gene
3,LOC106581251,LOC106581251,70628816,70643823,-,,,,,W002,Salmo salar,GCF_965601325.1,MYO18AB,gene
4,LOC106581252,LOC106581252,70645763,70692810,-,cuedc1b,NC_069723.1,13081238.0,cuedc1b,W002,Salmo salar,GCF_965601325.1,MYO18AB,gene
5,LOC106581258,LOC106581258,70700572,70717463,-,,,,,W002,Salmo salar,GCF_965601325.1,MYO18AB,gene
6,LOC106581261,LOC106581261,70719844,70721612,+,,,,,W002,Salmo salar,GCF_965601325.1,MYO18AB,gene
7,LOC106581254,LOC106581254,70734031,70842501,+,,,,,W002,Salmo salar,GCF_965601325.1,MYO18AB,gene
8,LOC106581259,LOC106581259,70785634,70789852,-,,,,,W002,Salmo salar,GCF_965601325.1,MYO18AB,gene
9,evi2b,evi2b,70794226,70796986,-,,,,,W002,Salmo salar,GCF_965601325.1,MYO18AB,gene
10,LOC106581262,LOC106581262,70804080,70814867,-,,,,,W002,Salmo salar,GCF_965601325.1,MYO18AB,gene
-10,pak2b,pak2b,66812879,66839267,+,,,,,W004,Oncorhynchus mykiss,GCF_013265735.2,Sox2,gene
-9,rpp21,rpp21,66881994,66884028,+,rpp21,NC_069720.1,13268073.0,rpp21,W004,Oncorhynchus mykiss,GCF_013265735.2,Sox2,gene
-8,aqp12,aqp12,66883689,66885402,-,aqp12,NC_069720.1,13264935.0,aqp12,W004,Oncorhynchus mykiss,GCF_013265735.2,Sox2,gene
-7,gpc5b,gpc5b,66891208,66987322,+,,,,,W004,Oncorhynchus mykiss,GCF_013265735.2,Sox2,gene
-6,LOC110524403,LOC110524403,67003157,67057676,+,,,,,W004,Oncorhynchus mykiss,GCF_013265735.2,Sox2,gene
-5,ankmy1,ankmy1,67055659,67068645,-,ankmy1,NC_069720.1,13130922.0,ankmy1,W004,Oncorhynchus mykiss,GCF_013265735.2,Sox2,gene
-4,LOC110524404,LOC110524404,67080011,67288985,+,,,,,W004,Oncorhynchus mykiss,GCF_013265735.2,Sox2,gene
-3,LOC110524406,LOC110524406,67426327,67449696,+,lrrc24,NC_069730.1,17039503.0,lrrc24,W004,Oncorhynchus mykiss,GCF_013265735.2,Sox2,gene
-2,fxr1,fxr1,67491153,67511405,+,fxr1,NC_069720.1,11903096.0,fxr1,W004,Oncorhynchus mykiss,GCF_013265735.2,Sox2,gene
-1,LOC118936331,LOC118936331,67511452,67513347,-,,,,,W004,Oncorhynchus mykiss,GCF_013265735.2,Sox2,gene
0,sox2,sox2,67622271,67624355,+,sox2,NC_069720.1,11776287.0,sox2,W004,Oncorhynchus mykiss,GCF_013265735.2,Sox2,gene
1,lrrc40,lrrc40,67802829,67810322,+,lrrc40,NC_069711.1,20590477.0,lrrc40,W004,Oncorhynchus mykiss,GCF_013265735.2,Sox2,gene
2,lrrc7,lrrc7,67810595,67983549,-,lrrc7,NC_069711.1,20660697.0,lrrc7,W004,Oncorhynchus mykiss,GCF_013265735.2,Sox2,gene
3,depdc1a,depdc1a,67987179,67995354,+,depdc1a,NC_069717.1,11330804.0,depdc1a,W004,Oncorhynchus mykiss,GCF_013265735.2,Sox2,gene
4,LOC110524415,LOC110524415,67996354,68000277,+,,,,,W004,Oncorhynchus mykiss,GCF_013265735.2,Sox2,gene
5,si:ch211-198n5.11,si:ch211-198n5.11,68002085,68009594,-,si:ch211-198n5.11,NC_069717.1,11306880.0,si:ch211-198n5.11,W004,Oncorhynchus mykiss,GCF_013265735.2,Sox2,gene
6,LOC110524419,LOC110524419,68010191,68052897,+,,,,,W004,Oncorhynchus mykiss,GCF_013265735.2,Sox2,gene
7,LOC110524417,LOC110524417,68052908,68114236,-,,,,,W004,Oncorhynchus mykiss,GCF_013265735.2,Sox2,gene
8,slc5a9,slc5a9,68184226,68190916,-,slc5a9,NC_069717.1,10594166.0,slc5a9,W004,Oncorhynchus mykiss,GCF_013265735.2,Sox2,gene
9,LOC110524422,LOC110524422,68193752,68200853,+,gclm,NC_069717.1,10603757.0,gclm,W004,Oncorhynchus mykiss,GCF_013265735.2,Sox2,gene
10,LOC110524423,LOC110524423,68212224,68214236,+,,,,,W004,Oncorhynchus mykiss,GCF_013265735.2,Sox2,gene
-10,pfc,pfc,52158213,52166905,-,,,,,W004,Oncorhynchus mykiss,GCF_013265735.2,Trim33,gene
-9,LOC110532337,LOC110532337,52174010,52176441,+,,,,,W004,Oncorhynchus mykiss,GCF_013265735.2,Trim33,gene
-8,LOC110532339,LOC110532339,52182228,52189437,+,,,,,W004,Oncorhynchus mykiss,GCF_013265735.2,Trim33,gene
-7,tpk2,tpk2,52189483,52194093,-,tpk2,NC_069717.1,1486776.0,tpk2,W004,Oncorhynchus mykiss,GCF_013265735.2,Trim33,gene
-6,si:dkey-6n6.1,si:dkey-6n6.1,52207226,52216054,+,si:dkey-6n6.1,NC_069717.1,1496854.0,si:dkey-6n6.1,W004,Oncorhynchus mykiss,GCF_013265735.2,Trim33,gene
-5,dedd,dedd,52229754,52234943,+,dedd,NC_069717.1,1530501.0,dedd,W004,Oncorhynchus mykiss,GCF_013265735.2,Trim33,gene
-4,LOC110531200,LOC110531200,52246372,52250891,+,,,,,W004,Oncorhynchus mykiss,GCF_013265735.2,Trim33,gene
-3,LOC110532344,LOC110532344,52260178,52294856,+,,,,,W004,Oncorhynchus mykiss,GCF_013265735.2,Trim33,gene
-2,LOC101268902,LOC101268902,52295184,52310423,-,,,,,W004,Oncorhynchus mykiss,GCF_013265735.2,Trim33,gene
-1,slc66a1,slc66a1,52318113,52322900,-,slc66a1,NC_069717.1,5867194.0,slc66a1,W004,Oncorhynchus mykiss,GCF_013265735.2,Trim33,gene
0,LOC110532346,LOC110532346,52329120,52355630,-,trim33,NC_069717.1,5887831.0,trim33,W004,Oncorhynchus mykiss,GCF_013265735.2,Trim33,gene
1,LOC110532350,LOC110532350,52365761,52371772,-,,,,,W004,Oncorhynchus mykiss,GCF_013265735.2,Trim33,gene
2,dennd2c,dennd2c,52372062,52406309,-,dennd2c,NC_069717.1,5928510.0,dennd2c,W004,Oncorhynchus mykiss,GCF_013265735.2,Trim33,gene
3,LOC110532352,LOC110532352,52406449,52443628,-,,,,,W004,Oncorhynchus mykiss,GCF_013265735.2,Trim33,gene
4,LOC110532354,LOC110532354,52452708,52473256,-,csde1,NC_069717.1,13566199.0,csde1,W004,Oncorhynchus mykiss,GCF_013265735.2,Trim33,gene
5,sike1,sike1,52485523,52488233,+,sike1,NC_069725.1,8310447.0,sike1,W004,Oncorhynchus mykiss,GCF_013265735.2,Trim33,gene
6,LOC118936401,LOC118936401,52502997,52504594,+,htr6,NC_069725.1,8320075.0,htr6,W004,Oncorhynchus mykiss,GCF_013265735.2,Trim33,gene
7,htr6,htr6,52513511,52514463,+,,,,,W004,Oncorhynchus mykiss,GCF_013265735.2,Trim33,gene
8,tmco4,tmco4,52514565,52530602,-,tmco4,NC_069725.1,8326950.0,tmco4,W004,Oncorhynchus mykiss,GCF_013265735.2,Trim33,gene
9,vwa1,vwa1,52550127,52567525,+,vwa1,NC_069725.1,8347579.0,vwa1,W004,Oncorhynchus mykiss,GCF_013265735.2,Trim33,gene
10,otud3,otud3,52581057,52587282,-,,,,,W004,Oncorhynchus mykiss,GCF_013265735.2,Trim33,gene
-10,LOC110533859,LOC110533859,39143458,39147684,+,nono,NC_069736.1,17636868.0,nono,W004,Oncorhynchus mykiss,GCF_013265735.2,Ksr1,gene
-9,LOC110533860,LOC110533860,39157811,39185057,+,,,,,W004,Oncorhynchus mykiss,GCF_013265735.2,Ksr1,gene
-8,rpl36a,rpl36a,39183759,39185578,-,rpl36a,NC_069736.1,17595426.0,rpl36a,W004,Oncorhynchus mykiss,GCF_013265735.2,Ksr1,gene
-7,LOC110533863,LOC110533863,39227030,39234212,+,LOC113544811,NC_069726.1,3416013.0,LOC113544811,W004,Oncorhynchus mykiss,GCF_013265735.2,Ksr1,gene
-6,LOC110533864,LOC110533864,39310186,39634685,-,msi2b,NC_069723.1,12781748.0,msi2b,W004,Oncorhynchus mykiss,GCF_013265735.2,Ksr1,gene
-5,LOC110533865,LOC110533865,39641988,39671377,-,,,,,W004,Oncorhynchus mykiss,GCF_013265735.2,Ksr1,gene
-4,LOC110533868,LOC110533868,39704518,39706579,+,,,,,W004,Oncorhynchus mykiss,GCF_013265735.2,Ksr1,gene
-3,LOC110533867,LOC110533867,39707335,39710492,+,,,,,W004,Oncorhynchus mykiss,GCF_013265735.2,Ksr1,gene
-2,LOC110533869,LOC110533869,39771290,39775768,-,LOC113544747,NC_069726.1,3798201.0,LOC113544747,W004,Oncorhynchus mykiss,GCF_013265735.2,Ksr1,gene
-1,LOC110533108,LOC110533108,39789877,39808636,-,,,,,W004,Oncorhynchus mykiss,GCF_013265735.2,Ksr1,gene
0,ksr1a,ksr1a,39843126,39893728,-,,,,,W004,Oncorhynchus mykiss,GCF_013265735.2,Ksr1,gene
1,LOC110533871,LOC110533871,39904172,39919322,-,,,,,W004,Oncorhynchus mykiss,GCF_013265735.2,Ksr1,gene
2,LOC110533872,LOC110533872,39920761,39964811,-,vezf1a,NC_069726.1,3890689.0,vezf1a,W004,Oncorhynchus mykiss,GCF_013265735.2,Ksr1,gene
3,LOC110533109,LOC110533109,39975170,39977790,+,,,,,W004,Oncorhynchus mykiss,GCF_013265735.2,Ksr1,gene
4,LOC110533873,LOC110533873,39983042,40090027,+,myo18aa,NC_069726.1,3945612.0,myo18aa,W004,Oncorhynchus mykiss,GCF_013265735.2,Ksr1,gene
5,LOC110533874,LOC110533874,40152031,40360429,+,sez6a,NC_069726.1,4073593.0,sez6a,W004,Oncorhynchus mykiss,GCF_013265735.2,Ksr1,gene
6,LOC110533875,LOC110533875,40366196,40378922,+,,,,,W004,Oncorhynchus mykiss,GCF_013265735.2,Ksr1,gene
7,LOC110533877,LOC110533877,40391376,40393654,+,LOC113544790,NC_069726.1,4161211.0,LOC113544790,W004,Oncorhynchus mykiss,GCF_013265735.2,Ksr1,gene
8,LOC110533880,LOC110533880,40470019,40475795,+,,,,,W004,Oncorhynchus mykiss,GCF_013265735.2,Ksr1,gene
9,aatf,aatf,40479739,40495940,+,aatf,NC_069736.1,15611730.0,aatf,W004,Oncorhynchus mykiss,GCF_013265735.2,Ksr1,gene
10,LOC110533878,LOC110533878,40496720,40547393,-,,,,,W004,Oncorhynchus mykiss,GCF_013265735.2,Ksr1,gene
-10,crcp,crcp,38003915,38006475,+,crcp,NC_069724.1,7049993.0,crcp,W006,Salmo salar,GCF_965601325.1,VTN,gene
-9,tpst1l,tpst1l,38038712,38052681,+,tpst1l,NC_069724.1,7038247.0,tpst1l,W006,Salmo salar,GCF_965601325.1,VTN,gene
-8,ncbp3,ncbp3,38158279,38183902,+,ncbp3,NC_069724.1,6934069.0,ncbp3,W006,Salmo salar,GCF_965601325.1,VTN,gene
-7,pcf11,pcf11,38213490,38255171,-,pcf11,NC_069724.1,9198205.0,pcf11,W006,Salmo salar,GCF_965601325.1,VTN,gene
-6,ccdc90b,ccdc90b,38257147,38279019,-,ccdc90b,NC_069724.1,9188632.0,ccdc90b,W006,Salmo salar,GCF_965601325.1,VTN,gene
-5,alg8,alg8,38278766,38322170,+,alg8,NC_069724.1,9181325.0,alg8,W006,Salmo salar,GCF_965601325.1,VTN,gene
-4,LOC106602844,LOC106602844,38338245,38383408,+,,,,,W006,Salmo salar,GCF_965601325.1,VTN,gene
-3,rap1gap2b,rap1gap2b,38395343,38487178,-,,,,,W006,Salmo salar,GCF_965601325.1,VTN,gene
-2,st6gal1,st6gal1,38540919,38706132,-,st6gal1,NC_069724.1,7003507.0,st6gal1,W006,Salmo salar,GCF_965601325.1,VTN,gene
-1,aldh3a2b,aldh3a2b,38718785,38745526,-,aldh3a2b,NC_069724.1,3092037.0,aldh3a2b,W006,Salmo salar,GCF_965601325.1,VTN,gene
0,vtnb,vtnb,38804646,38850692,-,vtnb,NC_069724.1,3077352.0,vtnb,W006,Salmo salar,GCF_965601325.1,VTN,gene
1,LOC106602849,LOC106602849,38878645,38942101,+,slc13a2,NC_069724.1,3060410.0,slc13a2,W006,Salmo salar,GCF_965601325.1,VTN,gene
2,LOC106602850,LOC106602850,38998950,39002515,+,cryba1b,NC_069724.1,3025138.0,cryba1b,W006,Salmo salar,GCF_965601325.1,VTN,gene
3,LOC106602851,LOC106602851,39037729,39057217,-,trarg1b,NC_069724.1,3000831.0,trarg1b,W006,Salmo salar,GCF_965601325.1,VTN,gene
4,LOC106602853,LOC106602853,39071976,39134328,-,,,,,W006,Salmo salar,GCF_965601325.1,VTN,gene
5,LOC106602855,LOC106602855,39146333,39150800,-,,,,,W006,Salmo salar,GCF_965601325.1,VTN,gene
6,LOC106602857,LOC106602857,39151542,39173120,+,,,,,W006,Salmo salar,GCF_965601325.1,VTN,gene
7,LOC106602856,LOC106602856,39173214,39208508,-,,,,,W006,Salmo salar,GCF_965601325.1,VTN,gene
8,spns2,spns2,39267941,39404056,+,spns2,NC_069736.1,8298845.0,spns2,W006,Salmo salar,GCF_965601325.1,VTN,gene
9,ruvbl2,ruvbl2,39422937,39437998,-,ruvbl2,NC_069736.1,8360667.0,ruvbl2,W006,Salmo salar,GCF_965601325.1,VTN,gene
10,ftr83,ftr83,39467540,39479176,-,ftr83,NC_069736.1,8373662.0,ftr83,W006,Salmo salar,GCF_965601325.1,VTN,gene
-10,LOC106605509,LOC106605509,66312554,66317907,-,,,,,W006,Salmo salar,GCF_965601325.1,MRAP2,gene
-9,LOC106605511,LOC106605511,66344616,66354439,+,nod1,NC_069731.1,50075.0,nod1,W006,Salmo salar,GCF_965601325.1,MRAP2,gene
-8,LOC106605512,LOC106605512,66356439,66469811,-,,,,,W006,Salmo salar,GCF_965601325.1,MRAP2,gene
-7,LOC106605516,LOC106605516,66605699,66608015,-,,,,,W006,Salmo salar,GCF_965601325.1,MRAP2,gene
