"Gene symbol (zebrafish, Ensembl/ZFIN)",Common aliases,"Gene name (Ensembl/ZFIN, authoritative)",Gene name (plain-language label),Ensembl gene ID (D. rerio),ZFIN ID,Chr (GRCz11),Start (GRCz11),End (GRCz11),Strand,Biotype,ID verification note,Ensembl link,ZFIN link,Pathway group,Pathway / family (detail),Trait category,Evidence type,Evidence strength,Verification depth,Source species,Reported locus in source study,Proposed effect on growth,Primary reference (verified),Reference title,DOI,PMID,source_catalog,gene_symbol_norm,evidence_bucket,in_pangasius_catalog,has_verified_marker_variant,method,confidence,catfish_symbol,chrom_acc,start,end,note,cat_chrom,pos_check,locus_key,shared_locus_with
etfdh,ETFDH,electron transfer flavoprotein dehydrogenase,electron transfer flavoprotein dehydrogenase,ENSDARG00000038834,ZDB-GENE-040912-168,14,48070872.0,48103207.0,-,protein_coding,"Ensembl ID, GRCz11 chr/start/end/strand re-verified against Ensembl REST on 2026-09-04",open,open,Lipid & energy metabolism,Lipid oxidation,Body weight,GWAS/QTL,A - named in a verified primary teleost study,Reference metadata verified in PubMed/Crossref; gene-level claim not re-checked against the full text,Oncorhynchus mykiss; Danio rerio,Omy14,Regulates fatty acid oxidation; growth-associated in trout,Ali A et al. (2020) BMC Genomics 21:209,Genome-wide identification of loci associated with growth in rainbow trout,10.1186/s12864-020-6617-x,32138655,teleost,etfdh,A,False,False,direct_symbol_match,high,etfdh,NC_069716.1,4739780.0,4751472.0,,chr7,ok,chr7:4739780-4751472,
eya1,EYA1,EYA transcriptional coactivator and phosphatase 1,EYA transcriptional coactivator and phosphatase 1,ENSDARG00000014259,ZDB-GENE-990712-18,24,13869092.0,14015459.0,+,protein_coding,"Ensembl ID, GRCz11 chr/start/end/strand re-verified against Ensembl REST on 2026-09-04",open,open,Myogenesis & sarcomere,Myogenic regulatory network,Muscle growth,Pathway core,"C - pathway annotation only, no primary study cited",No primary study cited,Danio rerio,,SIX1 cofactor in muscle progenitor specification,No primary study cited - canonical pathway member (Ensembl/ZFIN gene record),,,,teleost,eya1,C,False,False,direct_symbol_match,high,eya1,NC_069731.1,15077562.0,15128976.0,,chr22,ok,chr22:15077562-15128976,
fabp10a,"FABP10, L-FABP","fatty acid binding protein 10a, liver basic","fatty acid binding protein 10a, liver basic",ENSDARG00000038439,ZDB-GENE-020318-1,16,52512025.0,52516915.0,+,protein_coding,"Ensembl ID, GRCz11 chr/start/end/strand re-verified against Ensembl REST on 2026-09-04",open,open,Lipid & energy metabolism,Lipid transport,Energy partitioning,Pathway core,"C - pathway annotation only, no primary study cited",No primary study cited,Danio rerio,,Liver fatty acid binding protein; hepatic lipid flux,No primary study cited - canonical pathway member (Ensembl/ZFIN gene record),,,,teleost,fabp10a,C,False,False,direct_symbol_match,high,fabp10a,NC_069731.1,5109999.0,5112535.0,,chr22,ok,chr22:5109999-5112535,
fabp2,"IFABP, FABP2","fatty acid binding protein 2, intestinal","fatty acid binding protein 2, intestinal",ENSDARG00000006427,ZDB-GENE-991019-5,1,25848231.0,25851575.0,+,protein_coding,"Ensembl ID, GRCz11 chr/start/end/strand re-verified against Ensembl REST on 2026-09-04",open,open,Lipid & energy metabolism,Lipid transport,Body weight,GWAS/QTL,A - named in a verified primary teleost study,"Second-order check: source paper text read and the gene, trait, locus and effect size below confirmed against it (4 Sep 2026)",Lates calcarifer; Danio rerio,"LG5, exon 3 (IFABP-a-SNP1245)","Intestinal fatty acid binding protein. IFABP-a-SNP1245 in exon 3 on LG5, a C-to-G transversion causing a Thr-to-Arg substitution, was associated at genome-wide p<0.01 with body weight at 6 and 9 months, standard length and total length in Asian seabass, explaining 5.4-10.5% of phenotypic variance (QTL family n=359; association mapping n=881 across four populations).",Xia JH et al. (2013) BMC Genomics 14:295,Whole genome scanning and association mapping identified a significant association between growth and a SNP in the IFABP-a gene of the Asian seabass,10.1186/1471-2164-14-295,23634810,teleost,fabp2,A,False,False,direct_symbol_match,high,fabp2,NC_069737.1,299812.0,302288.0,,chr28,ok,chr28:299812-302288,
fabp3,FABP3,"fatty acid binding protein 3, muscle and heart","fatty acid binding protein 3, muscle and heart",ENSDARG00000023290,ZDB-GENE-020318-2,19,42955280.0,42993306.0,+,protein_coding,"Ensembl ID, GRCz11 chr/start/end/strand re-verified against Ensembl REST on 2026-09-04",open,open,Lipid & energy metabolism,Lipid transport,Body shape; body weight,Pathway core,"C - pathway annotation only, no primary study cited",Third-order check (rev 4): the source paper full text was retrieved and this row was compared against the paper's own gene table. Attribution removed: the gene does not appear in the bighead carp paper.,Danio rerio,,Muscle fatty acid binding protein among body-shape candidates in bighead carp. NOTE: this gene was attributed to the bighead carp GWAS in earlier revisions; retrieving that paper shows the gene is NOT mentioned in it. No teleost growth study is cited here.,No primary study cited - canonical pathway member (Ensembl/ZFIN gene record),,,,teleost,fabp3,C,False,False,direct_symbol_match,high,fabp3,NC_069732.1,12718773.0,12722252.0,,chr23,ok,chr23:12718773-12722252,
fads2,FADS2,fatty acid desaturase 2,fatty acid desaturase 2,ENSDARG00000019532,ZDB-GENE-011212-1,25,4133488.0,4148719.0,-,protein_coding,"Ensembl ID, GRCz11 chr/start/end/strand re-verified against Ensembl REST on 2026-09-04",open,open,Lipid & energy metabolism,Lipid metabolism,Flesh quality; growth on plant diets,Pathway core,"C - pathway annotation only, no primary study cited",No primary study cited,Danio rerio; Salmo salar; Oreochromis niloticus,,Delta-6 desaturase determining LC-PUFA synthesis capacity,No primary study cited - canonical pathway member (Ensembl/ZFIN gene record),,,,teleost,fads2,C,False,False,blast_ortholog,high,LOC113529790,NC_069718.1,23318449.0,23328733.0,BLAST ortholog (protein XP_026775052.1),chr9,ok,chr9:23318449-23328733,
fasn,FASN,fatty acid synthase,fatty acid synthase,ENSDARG00000087657,ZDB-GENE-030131-7802,12,33361948.0,33472581.0,+,protein_coding,"Ensembl ID, GRCz11 chr/start/end/strand re-verified against Ensembl REST on 2026-09-04",open,open,Lipid & energy metabolism,Lipogenesis,Lipid deposition; body weight,Pathway core,"C - pathway annotation only, no primary study cited",No primary study cited,Danio rerio; Oncorhynchus mykiss; Sparus aurata,,De novo lipogenesis; determines carcass fat content,No primary study cited - canonical pathway member (Ensembl/ZFIN gene record),,,,teleost,fasn,C,False,False,direct_symbol_match,high,fasn,NC_069721.1,15211070.0,15234548.0,,chr12,ok,chr12:15211070-15234548,
fbxo32,"FBXO32, atrogin-1, MAFbx",F-box protein 32,F-box protein 32,ENSDARG00000040277,ZDB-GENE-040426-1040,16,25259313.0,25272633.0,+,protein_coding,"Ensembl ID, GRCz11 chr/start/end/strand re-verified against Ensembl REST on 2026-09-04",open,open,Muscle protein turnover & proteolysis,Ubiquitin-proteasome atrophy,Muscle atrophy; growth loss,Pathway core; Expression,"B - verified primary study, supporting evidence",Reference metadata verified in PubMed/Crossref; gene-level claim not re-checked against the full text,Danio rerio; Oncorhynchus mykiss; Sparus aurata,,"Muscle-specific atrophy E3 ligase; induced by fasting, degrades myofibrillar protein",Seiliez I et al. (2008) Journal of Nutrition 138:487-491,Feeding status regulates the polyubiquitination step of the ubiquitin-proteasome-dependent proteolysis in rainbow trout muscle,10.1093/jn/138.3.487,18287354,teleost,fbxo32,B,False,False,direct_symbol_match,high,fbxo32,NC_069710.1,8497334.0,8504652.0,,chr1,ok,chr1:8497334-8504652,
fgf21,FGF21,fibroblast growth factor 21,fibroblast growth factor 21,ENSDARG00000100846,ZDB-GENE-060623-2,KN149943.1,8050.0,12380.0,-,protein_coding,"Ensembl ID, GRCz11 chr/start/end/strand re-verified against Ensembl REST on 2026-09-04",open,open,Other growth signalling & trafficking,FGF signalling,Growth suppression; metabolism,Pathway core,"C - pathway annotation only, no primary study cited",No primary study cited,Danio rerio,,Fasting hormone inducing GH resistance and reduced somatic growth,No primary study cited - canonical pathway member (Ensembl/ZFIN gene record),,,,teleost,fgf21,C,False,False,direct_symbol_match,high,fgf21,NC_069710.1,35838848.0,35845606.0,,chr1,ok,chr1:35838848-35845606,
fgf6a,FGF6,fibroblast growth factor 6a,fibroblast growth factor 6a,ENSDARG00000009351,ZDB-GENE-980526-559,25,16945348.0,16951890.0,+,protein_coding,"Ensembl ID, GRCz11 chr/start/end/strand re-verified against Ensembl REST on 2026-09-04",open,open,Other growth signalling & trafficking,FGF signalling,Muscle growth,Pathway core,"C - pathway annotation only, no primary study cited",No primary study cited,Danio rerio,,Muscle-specific FGF promoting satellite cell proliferation,No primary study cited - canonical pathway member (Ensembl/ZFIN gene record),,,,teleost,fgf6a,C,False,False,direct_symbol_match,high,fgf6a,NC_069716.1,26782246.0,26794700.0,,chr7,ok,chr7:26782246-26794700,
fgfbp1b,FGFBP1; fgfbp1,fibroblast growth factor binding protein 1b,fibroblast growth factor binding protein 1,ENSDARG00000091660,ZDB-GENE-081106-1,1,22677429.0,22678471.0,-,protein_coding,"Ensembl ID, GRCz11 chr/start/end/strand re-verified against Ensembl REST on 2026-09-04",open,open,Other growth signalling & trafficking,FGF signalling,Body weight,GWAS/QTL,A - named in a verified primary teleost study,Reference metadata verified in PubMed/Crossref; gene-level claim not re-checked against the full text,Oncorhynchus mykiss; Danio rerio,Omy14,Promotes FGF2 signalling; trout growth candidate,Ali A et al. (2020) BMC Genomics 21:209,Genome-wide identification of loci associated with growth in rainbow trout,10.1186/s12864-020-6617-x,32138655,teleost,fgfbp1b,A,False,False,direct_symbol_match,high,fgfbp1b,NC_069737.1,12106373.0,12108099.0,,chr28,ok,chr28:12106373-12108099,
fkbp10a,FKBP10,FKBP prolyl isomerase 10a,FKBP prolyl isomerase 10a,ENSDARG00000099183,ZDB-GENE-100921-75,19,18493782.0,18597568.0,+,protein_coding,"Ensembl ID, GRCz11 chr/start/end/strand re-verified against Ensembl REST on 2026-09-04",open,open,"Skeletal, ECM & body shape",ECM / skeletal,Body weight,GWAS/QTL,A - named in a verified primary teleost study,Reference metadata verified in PubMed/Crossref; gene-level claim not re-checked against the full text,Oncorhynchus mykiss; Danio rerio,Omy13,Collagen chaperone; loss of function embryonic lethal; within growth-associated window,Ali A et al. (2020) BMC Genomics 21:209,Genome-wide identification of loci associated with growth in rainbow trout,10.1186/s12864-020-6617-x,32138655,teleost,fkbp10a,A,False,False,direct_symbol_match,high,fkbp10a,NC_069732.1,46824.0,79490.0,,chr23,ok,chr23:46824-79490,
fndc5b,"FNDC5b, irisin",fibronectin type III domain containing 5b,fibronectin type III domain containing 5b,ENSDARG00000035895,ZDB-GENE-060503-916,19,29383486.0,29437109.0,-,protein_coding,"Ensembl ID, GRCz11 chr/start/end/strand re-verified against Ensembl REST on 2026-09-04",open,open,Appetite & energy balance,Myokine / energy balance,Body weight; body length; body height,GWAS/QTL; Expression,A - named in a verified primary teleost study,Third-order check (rev 4): the source paper full text was retrieved and this row was compared against the paper's own gene table. Confirmed as the one candidate gene the bighead carp paper selected for follow-up; the paper gives no linkage-group assignment for fndc5b itself.,Hypophthalmichthys nobilis; Danio rerio,intronic g.245 C>T (the paper gives no linkage group for fndc5b; LG16 and LG21 carried the body-weight QTL overall),"An intronic SNP (g.245 C>T) in fndc5b was associated with growth traits in growth-extreme bighead carp (n=776, 2b-RAD). Brain fndc5b mRNA was significantly HIGHER in the lightweight group than the heavy group, indicating an inverse relation to growth. LG16 carried more than half of the significant SNPs and LG16/LG21 both carried body-weight QTL.",Chen G et al. (2022) Marine Biotechnology 24:1138-1147,Genome-wide association study reveals SNPs and candidate genes related to growth and body shape in bighead carp (Hypophthalmichthys nobilis),10.1007/s10126-022-10176-2,36350467,teleost,fndc5b,A,False,False,direct_symbol_match,high,fndc5b,NC_069738.1,7710881.0,7736558.0,,chr29,ok,chr29:7710881-7736558,
fosab,"FOS, AP-1",v-fos FBJ murine osteosarcoma viral onco homolog Ab,v-fos FBJ murine osteosarcoma viral oncogene homolog Ab,ENSDARG00000031683,ZDB-GENE-031222-4,20,46552311.0,46554440.0,-,protein_coding,"Ensembl ID, GRCz11 chr/start/end/strand re-verified against Ensembl REST on 2026-09-04",open,open,"Cell cycle, chromatin & transcription",Growth signalling,Body weight,Pathway core,"C - pathway annotation only, no primary study cited",No primary study cited,Danio rerio,,AP-1 partner of JUN in mitogenic signalling,No primary study cited - canonical pathway member (Ensembl/ZFIN gene record),,,,teleost,fosab,C,False,False,direct_symbol_match,high,fosab,NC_069739.1,646202.0,648439.0,,chr30,ok,chr30:646202-648439,
foxk1,FOXK1,forkhead box K1,forkhead box K1,ENSDARG00000037872,ZDB-GENE-030131-6402,3,40901743.0,40933415.0,-,protein_coding,"Ensembl ID, GRCz11 chr/start/end/strand re-verified against Ensembl REST on 2026-09-04",open,open,Myogenesis & sarcomere,Muscle proliferation,Body weight; total length; body thickness,GWAS/QTL; Expression,A - named in a verified primary teleost study,Reference metadata verified in PubMed/Crossref; gene-level claim not re-checked against the full text,Oreochromis spp.; Danio rerio,"LG6; LG6, ~1 Mb from BW/TL QTL",Promotes myoblast proliferation and represses autophagy; SNPs significantly associated with growth in tilapia,Lin G et al. (2019) Frontiers in Genetics 10:244,Transcriptome analysis identified genes for growth and omega-3/-6 ratio in saline tilapia,10.3389/fgene.2019.00244,30949199,teleost,foxk1,A,False,False,direct_symbol_match,high,foxk1,NC_069732.1,15702865.0,15727609.0,,chr23,ok,chr23:15702865-15727609,
foxo1a,FOXO1,forkhead box O1 a,forkhead box O1 a,ENSDARG00000099555,ZDB-GENE-061013-59,15,3284416.0,3379041.0,+,protein_coding,"Ensembl ID, GRCz11 chr/start/end/strand re-verified against Ensembl REST on 2026-09-04",open,open,Muscle protein turnover & proteolysis,FOXO / atrophy,Muscle atrophy,Pathway core; Expression,"B - verified primary study, supporting evidence",Reference metadata verified in PubMed/Crossref; gene-level claim not re-checked against the full text,Danio rerio; Oncorhynchus mykiss,,Transcription factor inducing atrogenes; inhibited by AKT during growth,Seiliez I et al. (2008) Journal of Nutrition 138:487-491,Feeding status regulates the polyubiquitination step of the ubiquitin-proteasome-dependent proteolysis in rainbow trout muscle,10.1093/jn/138.3.487,18287354,teleost,foxo1a,B,False,False,direct_symbol_match,high,foxo1a,NC_069723.1,15448687.0,15484142.0,,chr14,ok,chr14:15448687-15484142,
foxo3a,FOXO3,forkhead box O3A,forkhead box O3 a,ENSDARG00000023058,ZDB-GENE-050116-1,17,6793001.0,6810785.0,+,protein_coding,"Ensembl ID, GRCz11 chr/start/end/strand re-verified against Ensembl REST on 2026-09-04",open,open,Muscle protein turnover & proteolysis,FOXO / atrophy,Muscle atrophy; body weight,Pathway core,"C - pathway annotation only, no primary study cited",Third-order check (rev 4): the source paper full text was retrieved and this row was compared against the paper's own gene table. Attribution removed: the largemouth bass paper validated FOXO3b only.,Danio rerio,,"Transcription factor inducing atrogenes; inhibited by AKT during growth. NOTE: the largemouth bass growth-association SNP is in FOXO3b, not FOXO3a - that evidence sits on the foxo3b row.",No primary study cited - canonical pathway member (Ensembl/ZFIN gene record),,,,teleost,foxo3a,C,False,False,direct_symbol_match,high,foxo3a,NC_069719.1,12579570.0,12587616.0,,chr10,ok,chr10:12579570-12587616,
foxo3b,FOXO3b,forkhead box O3b,forkhead box O3 b,ENSDARG00000042904,ZDB-GENE-990708-6,20,32286765.0,32332736.0,-,protein_coding,"Ensembl ID, GRCz11 chr/start/end/strand re-verified against Ensembl REST on 2026-09-04",open,open,Muscle protein turnover & proteolysis,FOXO / atrophy,Body weight,GWAS/QTL; Expression,A - named in a verified primary teleost study,Third-order check (rev 4): the source paper full text was retrieved and this row was compared against the paper's own gene table. Confirmed: one of the three SNPs validated by marker-trait analysis in 340 fish.,Micropterus salmoides; Danio rerio,,Growth-associated SNP in largemouth bass; FOXO paralogue. One of only three SNPs (from 17 genotyped across 10 candidate genes) that showed a significant marker-trait association in 340 Youlu No. 1 largemouth bass.,Li S et al. (2017) Genetica 145:175-187,Transcriptome assembly and identification of genes and SNPs associated with growth traits in largemouth bass (Micropterus salmoides),10.1007/s10709-017-9956-z,28204905,teleost,foxo3b,A,False,False,direct_symbol_match,high,foxo3b,NC_069739.1,11199157.0,11228939.0,,chr30,ok,chr30:11199157-11228939,
fras1,FRAS1,Fraser extracellular matrix complex subunit 1,Fraser extracellular matrix complex subunit 1,ENSDARG00000054619,ZDB-GENE-060526-68,5,38837429.0,39086768.0,+,protein_coding,"Ensembl ID, GRCz11 chr/start/end/strand re-verified against Ensembl REST on 2026-09-04",open,open,"Skeletal, ECM & body shape",ECM / skeletal,Head length; body shape,GWAS/QTL,A - named in a verified primary teleost study,Third-order check (rev 4): the source paper full text was retrieved and this row was compared against the paper's own gene table. Confirmed as a candidate gene in the flounder paper.,Paralichthys olivaceus; Danio rerio,chr4,Highly significant for head length and post-orbital head length; ECM-receptor interaction pathway,Liang S et al. (2026) Biology 15:1246,Genetic dissection of growth traits and identification of candidate genes in Japanese flounder (Paralichthys olivaceus) using single- and multi-trait genome-wide association analyses,10.3390/biology15151246,,teleost,fras1,A,False,False,direct_symbol_match,high,fras1,NC_069733.1,11973970.0,12095231.0,,chr24,ok,chr24:11973970-12095231,
fsta,"FST, follistatin",follistatin a,follistatin a,ENSDARG00000052846,ZDB-GENE-990714-11,5,40504910.0,40510399.0,-,protein_coding,"Ensembl ID, GRCz11 chr/start/end/strand re-verified against Ensembl REST on 2026-09-04",open,open,Myostatin / TGF-beta / BMP,Myostatin / TGF-beta,Muscle mass,Functional; Pathway core,A - named in a verified primary teleost study,Reference metadata verified in PubMed/Crossref; gene-level claim not re-checked against the full text,Danio rerio; Oncorhynchus mykiss,,Binds and neutralises myostatin/activin; overexpression drives muscle hyperplasia and hypertrophy,"Medeiros EF et al. (2009) American Journal of Physiology - Regulatory, Integrative and Comparative Physiology 297:R235-R242",Overexpression of follistatin in trout stimulates increased muscling,10.1152/ajpregu.91020.2008,19474387,teleost,fsta,A,False,False,direct_symbol_match,high,fsta,NC_069733.1,12842961.0,12849909.0,,chr24,ok,chr24:12842961-12849909,
fstl1a,FSTL1,follistatin-like 1a,follistatin-like 1a,ENSDARG00000015559,ZDB-GENE-030131-4148,1,47459723.0,47485360.0,+,protein_coding,"Ensembl ID, GRCz11 chr/start/end/strand re-verified against Ensembl REST on 2026-09-04",open,open,Myostatin / TGF-beta / BMP,Myostatin / TGF-beta,Muscle mass,Pathway core,"C - pathway annotation only, no primary study cited",No primary study cited,Danio rerio,,Follistatin-related secreted glycoprotein modulating TGF-beta signalling in muscle,No primary study cited - canonical pathway member (Ensembl/ZFIN gene record),,,,teleost,fstl1a,C,False,False,direct_symbol_match,high,fstl1a,NC_069735.1,10024366.0,10046439.0,,chr26,ok,chr26:10024366-10046439,
fut8a,FUT8,"fucosyltransferase 8a (alpha (1,6) fucosyltransferase)",fucosyltransferase 8a,ENSDARG00000015449,ZDB-GENE-031118-20,17,33719415.0,33906488.0,+,protein_coding,"Ensembl ID, GRCz11 chr/start/end/strand re-verified against Ensembl REST on 2026-09-04",open,open,Lipid & energy metabolism,Glycosylation,Average daily gain,GWAS/QTL,A - named in a verified primary teleost study,"Second-order check: source paper text read and the gene, trait, locus and effect size below confirmed against it (4 Sep 2026)",Oreochromis niloticus; Danio rerio,"LG15, intronic",Intronic lead SNP on LG15 associated with average daily gain in Nile tilapia. Core fucosylation of growth-factor receptors; disruption causes severe growth retardation in mice. The study reports no per-SNP variance estimate.,Yoshida GM et al. (2021) BMC Genomics 22:57,Multi-trait GWAS using imputed high-density genotypes from whole-genome sequencing identifies genes associated with body traits in Nile tilapia,10.1186/s12864-020-07341-z,33451291,teleost,fut8a,A,False,False,direct_symbol_match,high,fut8a,NC_069719.1,23079116.0,23145190.0,,chr10,ok,chr10:23079116-23145190,
fut8b,FUT8b,"fucosyltransferase 8b (alpha (1,6) fucosyltransferase)",fucosyltransferase 8b,ENSDARG00000088117,ZDB-GENE-130530-923,20,50650143.0,50740404.0,+,protein_coding,"Ensembl ID, GRCz11 chr/start/end/strand re-verified against Ensembl REST on 2026-09-04",open,open,Lipid & energy metabolism,Glycosylation,Average daily gain,Pathway core,"C - pathway annotation only, no primary study cited",No primary study cited,Danio rerio,,Duplicated core fucosyltransferase,No primary study cited - canonical pathway member (Ensembl/ZFIN gene record),,,,teleost,fut8b,C,False,False,direct_symbol_match,high,fut8b,NC_069728.1,13279977.0,13404173.0,,chr19,ok,chr19:13279977-13404173,
g6pc1a.1,G6PC; g6pca.1,"glucose-6-phosphatase catalytic subunit 1a, tandem duplicate 1","glucose-6-phosphatase catalytic subunit a, tandem duplicate 1",ENSDARG00000031616,ZDB-GENE-031001-4,12,6023490.0,6033854.0,-,protein_coding,"Ensembl ID, GRCz11 chr/start/end/strand re-verified against Ensembl REST on 2026-09-04",open,open,Lipid & energy metabolism,Gluconeogenesis,Feed utilisation,Pathway core,"C - pathway annotation only, no primary study cited",No primary study cited,Danio rerio; Oncorhynchus mykiss,,Terminal gluconeogenic enzyme; poorly repressed by diet in salmonids,No primary study cited - canonical pathway member (Ensembl/ZFIN gene record),,,,teleost,g6pc1a.1,C,False,False,direct_symbol_match,high,g6pc1a.1,NC_069721.1,6676809.0,6680426.0,,chr12,ok,chr12:6676809-6680426,
gal,"GAL, galanin; galn",galanin/GMAP prepropeptide,galanin/GMAP prepropeptide,ENSDARG00000091377,ZDB-GENE-111117-2,25,10556274.0,10565006.0,-,protein_coding,"Ensembl ID, GRCz11 chr/start/end/strand re-verified against Ensembl REST on 2026-09-04",open,open,Appetite & energy balance,Appetite / energy balance,Feed intake,Pathway core,B - verified review / pathway reference only,Reference metadata verified in PubMed/Crossref; gene-level claim not re-checked against the full text,Danio rerio,,Orexigenic peptide stimulating feeding in fish,Volkoff H (2016) Frontiers in Neuroscience 10:540; Ronnestad I et al. (2017) Frontiers in Endocrinology 8:73,The neuroendocrine regulation of food intake in fish: a review of current knowledge | Appetite-controlling endocrine systems in teleosts,10.3389/fnins.2016.00540; 10.3389/fendo.2017.00073,28458653,teleost,gal,B,False,False,direct_symbol_match,high,gal,NC_069716.1,29671189.0,29679593.0,,chr7,ok,chr7:29671189-29679593,
gck,GCK; gcka,glucokinase (hexokinase 4),glucokinase a,ENSDARG00000068006,ZDB-GENE-060825-204,8,40476811.0,40490593.0,+,protein_coding,"Ensembl ID, GRCz11 chr/start/end/strand re-verified against Ensembl REST on 2026-09-04",open,open,Lipid & energy metabolism,Glucose metabolism,Feed utilisation,Pathway core,"C - pathway annotation only, no primary study cited",No primary study cited,Danio rerio; Oncorhynchus mykiss,,Hepatic glucose sensor; limits carbohydrate use in carnivorous fish,No primary study cited - canonical pathway member (Ensembl/ZFIN gene record),,,,teleost,gck,C,False,False,direct_symbol_match,high,gck,NC_069717.1,26274109.0,26280705.0,,chr8,ok,chr8:26274109-26280705,
gdf11,GDF11,growth differentiation factor 11,growth differentiation factor 11,ENSDARG00000044924,ZDB-GENE-040427-2,11,15613218.0,15756385.0,+,protein_coding,"Ensembl ID, GRCz11 chr/start/end/strand re-verified against Ensembl REST on 2026-09-04",open,open,Myostatin / TGF-beta / BMP,Myostatin / TGF-beta,Body size; skeletal patterning,Pathway core,"C - pathway annotation only, no primary study cited",No primary study cited,Danio rerio,,Myostatin-related ligand restraining growth and patterning axial skeleton,No primary study cited - canonical pathway member (Ensembl/ZFIN gene record),,,,teleost,gdf11,C,False,False,direct_symbol_match,high,gdf11,NC_069729.1,12609427.0,12638089.0,,chr20,ok,chr20:12609427-12638089,
gdf5,GDF5,growth differentiation factor 5,growth differentiation factor 5,ENSDARG00000002760,ZDB-GENE-990415-39,6,52637308.0,52661824.0,-,protein_coding,"Ensembl ID, GRCz11 chr/start/end/strand re-verified against Ensembl REST on 2026-09-04",open,open,Myostatin / TGF-beta / BMP,Myostatin / TGF-beta,Skeletal/joint; body length,Pathway core,"C - pathway annotation only, no primary study cited",No primary study cited,Danio rerio,,Joint morphogenesis; human variants affect stature,No primary study cited - canonical pathway member (Ensembl/ZFIN gene record),,,,teleost,gdf5,C,False,False,direct_symbol_match,high,gdf5,NC_069711.1,6452977.0,6469816.0,,chr2,ok,chr2:6452977-6469816,
gdf6a,"GDF6, GDF6a",growth differentiation factor 6a,growth differentiation factor 6a,ENSDARG00000053479,ZDB-GENE-980526-373,16,39125589.0,39131666.0,-,protein_coding,"Ensembl ID, GRCz11 chr/start/end/strand re-verified against Ensembl REST on 2026-09-04",open,open,Myostatin / TGF-beta / BMP,Myostatin / TGF-beta,Body weight; skeletal/joint,GWAS/QTL; Functional,A - named in a verified primary teleost study,Reference metadata verified in PubMed/Crossref; gene-level claim not re-checked against the full text,Oreochromis niloticus; Danio rerio,"LG22; multi-trait GWAS, LG22","Within 100 kb of lead SNPs for ADG, harvest weight and gutted weight; controls joint, ligament and cartilage development",Yoshida GM et al. (2021) BMC Genomics 22:57,Multi-trait GWAS using imputed high-density genotypes from whole-genome sequencing identifies genes associated with body traits in Nile tilapia,10.1186/s12864-020-07341-z,33451291,teleost,gdf6a,A,False,False,direct_symbol_match,high,gdf6a,NC_069710.1,2823347.0,2828605.0,,chr1,ok,chr1:2823347-2828605,
gdf6b,GDF6b,growth differentiation factor 6b,growth differentiation factor 6b,ENSDARG00000005510,ZDB-GENE-980526-442,19,22999181.0,23002883.0,+,protein_coding,"Ensembl ID, GRCz11 chr/start/end/strand re-verified against Ensembl REST on 2026-09-04",open,open,Myostatin / TGF-beta / BMP,Myostatin / TGF-beta,Skeletal development,Pathway core,"C - pathway annotation only, no primary study cited",No primary study cited,Danio rerio,,BMP-family ligand in skeletal and fin development,No primary study cited - canonical pathway member (Ensembl/ZFIN gene record),,,,teleost,gdf6b,C,False,False,direct_symbol_match,high,gdf6b,NC_069732.1,7995008.0,7998079.0,,chr23,ok,chr23:7995008-7998079,
gh1,"GH, gh",growth hormone 1,growth hormone 1,ENSDARG00000038185,ZDB-GENE-030725-2,3,22327738.0,22332913.0,+,protein_coding,"Ensembl ID, GRCz11 chr/start/end/strand re-verified against Ensembl REST on 2026-09-04",open,open,GH-IGF somatotropic axis,Somatotropic (GH/IGF) axis,Growth rate; body weight,Functional; Expression; Pathway core,A - named in a verified primary teleost study,"Second-order check: source paper text read and the gene, trait, locus and effect size below confirmed against it (4 Sep 2026)",Oncorhynchus kisutch; Oreochromis niloticus; Cyprinus carpio; Danio rerio; Pangasianodon hypophthalmus,,"Master pituitary driver of somatic growth; GH transgenesis produces large growth acceleration in coho salmon and reduces myostatin transcript and protein. The striped catfish reference characterises the GH gene, its recombinant expression and biological activity - it is NOT a growth-association study, so no Pangasius marker-trait association is claimed here.",Raven PA et al. (2008) General and Comparative Endocrinology 159:26-37; Roberts SB et al. (2004) Journal of Experimental Biology 207:3741-3748; Poen S et al. (2013) Gene 518:316-324; Triantaphyllopoulos KA et al. (2020) Reviews in Aquaculture 12:1637-1662,"Endocrine effects of growth hormone overexpression in transgenic coho salmon | Transgenic salmon overexpressing growth hormone exhibit decreased myostatin transcript and protein expression | Growth hormone from striped catfish (Pangasianodon hypophthalmus): genomic organization, recombinant expression and biological activity | Factors influencing GH and IGF-I gene expression on growth in teleost fish: how can aquaculture industry benefit?",10.1016/j.ygcen.2008.07.011; 10.1242/jeb.01210; 10.1016/j.gene.2013.01.014; 10.1111/raq.12402,18713628; 15371481; 23353774,teleost,gh1,A,True,True,direct_symbol_match,high,gh1,NC_069738.1,4924032.0,4926740.0,,chr29,ok,chr29:4924032-4926740,gh2
